ImageUniqueID,xmin,ymin,xmax,ymax
2862684394-136762,0.022321,0.017857,0.678571,0.714286
2238502117-320693,0.308036,0.339286,0.861607,0.821429
2818074328-59948,0.285714,0.089286,0.736607,0.714286
2238560017-331396,0.370536,0.205357,0.691964,0.790179
2237970493-5168,0.031250,0.107143,0.665179,0.879464
2898621335-216661,0.366071,0.352679,0.875000,0.995536
2383043036-265877,0.267857,0.383929,0.723214,0.736607
2874312335-214797,0.183036,0.125000,0.852679,0.986607
2238161306-230699,0.250000,0.129464,0.741071,0.857143
2238482590-168374,0.133929,0.174107,0.647321,0.656250
2237917357-300664,0.138393,0.183036,0.754464,0.620536
2238582127-335885,0.089286,0.089286,0.892857,0.767857
2238498333-22587,0.272321,0.410714,0.732143,0.794643
2238579022-335141,0.196429,0.142857,0.745536,0.964286
2238147748-7669,0.321429,0.080357,0.790179,0.919643
2862687322-360801,0.366071,0.258929,0.816964,0.937500
2449441840-198331,0.383929,0.066964,0.656250,0.611607
2238513828-25152,0.250000,0.053571,0.977679,0.714286
2383042367-340910,0.084821,0.267857,0.785714,0.785714
2238577229-111433,0.053571,0.281250,0.995536,0.973214
2237929551-225875,0.299107,0.102679,0.767857,0.897321
2874316509-140767,0.321429,0.196429,0.714286,0.825893
2238492210-169825,0.464286,0.250000,0.727679,0.928571
2901939446-292654,0.160714,0.464286,0.785714,0.790179
2901933408-69217,0.133929,0.125000,0.843750,0.750000
2413147811-266034,0.419643,0.133929,0.821429,0.955357
2238068523-5699,0.267857,0.200893,0.892857,0.901786
2804905317-356895,0.142857,0.303571,0.607143,0.888393
2984617309-146252,0.303571,0.392857,0.602679,0.933036
2238572446-258209,0.147321,0.013393,0.803571,0.897321
2868472457-362769,0.183036,0.214286,0.906250,0.861607
2238556101-255038,0.285714,0.383929,0.736607,0.750000
2238559430-181939,0.053571,0.160714,0.785714,0.723214
2989725386-297130,0.196429,0.357143,0.727679,0.812500
2425494023-46387,0.392857,0.245536,0.852679,0.857143
2238351139-87013,0.116071,0.151786,0.647321,0.852679
2238152310-156168,0.258929,0.178571,0.848214,0.799107
2238557081-255249,0.062500,0.058036,0.723214,0.785714
2862699463-63354,0.339286,0.200893,0.982143,0.674107
2238497097-319886,0.218750,0.160714,0.651786,0.691964
2868469489-138554,0.258929,0.437500,0.584821,0.741071
2238377588-13923,0.142857,0.294643,0.754464,0.727679
2238554079-106647,0.294643,0.214286,0.995536,0.691964
2238473871-241278,0.196429,0.191964,0.486607,0.861607
2238532723-28511,0.098214,0.008929,0.656250,0.424107
2446759892-347158,0.183036,0.575893,0.968750,0.950893
2238566040-183160,0.160714,0.169643,0.718750,0.803571
2238370605-162008,0.138393,0.040179,0.825893,0.910714
2273838195-189285,0.285714,0.080357,0.758929,0.553571
2238550608-31702,0.312500,0.147321,0.776786,0.790179
2238210014-84552,0.151786,0.147321,0.995536,0.915179
2238550762-329389,0.187500,0.446429,0.888393,0.955357
2430667896-271174,0.232143,0.053571,0.995536,0.928571
2237903084-77115,0.214286,0.165179,0.843750,0.799107
2446759926-271920,0.290179,0.388393,0.696429,0.736607
2238505683-23807,0.044643,0.285714,0.941964,0.691964
2238490866-243636,0.232143,0.116071,0.683036,0.816964
2425495521-269134,0.397321,0.125000,0.718750,0.696429
2427872588-47021,0.299107,0.089286,0.825893,0.446429
2868483474-139379,0.125000,0.089286,0.687500,0.968750
2901948403-70369,0.049107,0.160714,0.647321,0.785714
2812994326-282163,0.308036,0.093750,0.776786,0.937500
2427872472-344742,0.017857,0.008929,0.450893,0.410714
2238587952-336861,0.187500,0.062500,0.995536,0.691964
2425493242-343968,0.232143,0.080357,0.683036,0.830357
2901934420-217436,0.477679,0.290179,0.852679,0.758929
2238210250-158628,0.245536,0.089286,0.575893,0.629464
2238480323-19663,0.343750,0.379464,0.611607,0.790179
2874315318-66736,0.227679,0.169643,0.732143,0.857143
2864899370-212031,0.316964,0.084821,0.593750,0.531250
2238559562-331302,0.357143,0.375000,0.852679,0.892857
2238556805-181318,0.245536,0.236607,0.821429,0.875000
2413150538-44036,0.102679,0.375000,0.781250,0.683036
2425493601-268806,0.044643,0.098214,0.750000,0.928571
2883262304-141378,0.250000,0.348214,0.718750,0.714286
2856932334-135986,0.267857,0.169643,0.830357,0.857143
2632341306-281067,0.276786,0.053571,0.866071,0.767857
2238579408-37464,0.303571,0.084821,0.616071,0.754464
2816359305-207993,0.290179,0.125000,0.875000,0.825893
2238566977-332715,0.214286,0.375000,0.714286,0.642857
2382321399-117156,0.272321,0.093750,0.607143,0.852679
2417208274-118948,0.218750,0.196429,0.794643,0.946429
2446760013-49310,0.183036,0.214286,0.723214,0.723214
2238189523-9444,0.285714,0.267857,0.968750,0.763393
2816367346-282515,0.388393,0.133929,0.906250,0.910714
2237913428-2838,0.303571,0.133929,0.790179,0.870536
2238444448-16789,0.281250,0.267857,0.683036,0.754464
2427872655-195531,0.223214,0.232143,0.946429,0.763393
2868487365-213910,0.312500,0.495536,0.642857,0.790179
2238524876-248923,0.174107,0.084821,0.883929,0.723214
2238590912-337062,0.308036,0.191964,0.986607,0.821429
2417207206-266904,0.098214,0.191964,0.741071,0.781250
2238564151-256732,0.129464,0.366071,0.772321,0.928571
2901934526-292272,0.303571,0.183036,0.790179,0.602679
2812988302-357109,0.044643,0.196429,0.852679,0.665179
2238569269-109719,0.254464,0.191964,0.687500,0.950893
2238498461-244756,0.285714,0.321429,0.625000,0.834821
2512875891-274884,0.232143,0.107143,0.995536,0.785714
2238356672-310751,0.129464,0.343750,0.758929,0.848214
2860302428-62264,0.392857,0.334821,0.790179,0.946429
2238591338-39343,0.156250,0.142857,0.700893,0.750000
2864910354-138189,0.151786,0.245536,0.861607,0.763393
2351006515-190622,0.178571,0.383929,0.732143,0.633929
2238552830-180611,0.116071,0.410714,0.741071,0.915179
2984618372-370597,0.107143,0.285714,0.861607,0.674107
2413147747-341223,0.214286,0.125000,0.607143,0.629464
2452380439-125106,0.209821,0.156250,0.750000,0.843750
2818071325-208404,0.116071,0.258929,0.919643,0.665179
2237917307-300658,0.156250,0.250000,0.834821,0.763393
2238574292-334068,0.120536,0.250000,0.727679,0.870536
2421822188-44888,0.491071,0.223214,0.883929,0.531250
2238195866-232191,0.089286,0.035714,0.906250,0.982143
2238580357-335486,0.098214,0.227679,0.794643,0.812500
2862687421-285851,0.250000,0.258929,0.772321,0.973214
2238526325-175315,0.339286,0.361607,0.973214,0.611607
2862692342-361024,0.227679,0.120536,0.607143,0.758929
2575122908-56108,0.066964,0.254464,0.482143,0.660714
2964207456-293862,0.294643,0.169643,0.964286,0.910714
2874307375-214506,0.245536,0.343750,0.678571,0.799107
2238554303-32386,0.325893,0.258929,0.767857,0.808036
2421822276-267454,0.196429,0.272321,0.750000,0.651786
2237969863-5148,0.174107,0.075893,0.754464,0.535714
2238559680-181974,0.312500,0.174107,0.857143,0.674107
2812984312-357060,0.187500,0.446429,0.687500,0.897321
2238571619-110101,0.205357,0.040179,0.991071,0.611607
2237942504-78201,0.075893,0.031250,0.915179,0.611607
2238524924-100882,0.071429,0.151786,0.799107,0.745536
2238523029-100497,0.325893,0.205357,0.727679,0.834821
2238496400-170423,0.232143,0.232143,0.687500,0.687500
2862684475-211106,0.089286,0.138393,0.540179,0.754464
2238221303-11035,0.200893,0.196429,0.875000,0.781250
2874312351-289519,0.089286,0.321429,0.857143,0.843750
2351007469-116832,0.227679,0.214286,0.937500,0.727679
2860298392-360138,0.160714,0.178571,0.928571,0.593750
2238127123-6488,0.245536,0.241071,0.754464,0.754464
2421822385-193387,0.276786,0.000000,0.857143,0.861607
2446759026-271638,0.375000,0.062500,0.705357,0.638393
2238521987-323893,0.366071,0.200893,0.629464,0.816964
2238529226-249779,0.254464,0.258929,0.964286,0.901786
2238523588-26628,0.241071,0.133929,0.852679,0.691964
2238569144-109689,0.142857,0.254464,0.642857,0.750000
