epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,6.394298,5.616955,0.060756,0.128235,0.015087,51:00
1,5.157977,4.656659,0.142833,0.259140,0.058169,50:59
2,4.070755,3.253832,0.319423,0.493039,0.185675,50:55
3,2.378723,1.903491,0.550517,0.736670,0.423319,51:01
4,1.528455,1.521006,0.626445,0.805298,0.516640,50:56
5,1.153864,1.356925,0.668750,0.833615,0.576289,51:00
6,0.911991,1.306461,0.680577,0.843211,0.588559,51:02
7,0.723117,1.266105,0.695344,0.855207,0.608809,51:01
8,0.569089,1.291053,0.700176,0.857268,0.618714,51:03
9,0.453548,1.308831,0.706427,0.861627,0.623638,51:01
10,0.307971,1.288450,0.718287,0.866797,0.634643,50:59
11,0.231150,1.298012,0.725215,0.871325,0.644749,50:59
12,0.160633,1.281401,0.739846,0.877070,0.663450,51:02
13,0.125664,1.284823,0.738494,0.878827,0.662288,51:04
14,0.094747,1.295560,0.742448,0.879942,0.667570,51:06
15,0.075248,1.278367,0.748260,0.883794,0.669978,51:04
16,0.063284,1.280037,0.749814,0.884909,0.674091,51:01
17,0.054852,1.281529,0.752686,0.885484,0.677673,51:03
18,0.046139,1.263049,0.758701,0.888558,0.681573,50:58
19,0.040727,1.272986,0.757282,0.890214,0.681312,51:00
20,0.040013,1.272895,0.758363,0.889910,0.682540,51:05
21,0.033606,1.271811,0.761269,0.890349,0.686395,51:01
22,0.032185,1.267560,0.762148,0.892782,0.687397,51:02
23,0.027853,1.264086,0.765932,0.893560,0.691389,51:00
24,0.026695,1.264585,0.765155,0.894370,0.687997,51:02
25,0.023650,1.257473,0.766777,0.895181,0.691211,51:06
26,0.022257,1.254065,0.768602,0.895384,0.693456,51:04
27,0.022066,1.265940,0.768433,0.894708,0.691821,51:07
28,0.020475,1.264069,0.771035,0.895587,0.694610,51:04
29,0.018954,1.267661,0.768331,0.895553,0.693004,51:01
