epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.344700,1.471929,0.642090,0.812901,0.517121,44:11
1,1.155362,1.270805,0.681760,0.847097,0.585837,44:10
2,0.824392,1.210784,0.703284,0.859262,0.617383,44:09
3,0.596518,1.178291,0.713050,0.864770,0.631416,44:11
4,0.416174,1.230165,0.712171,0.864500,0.640522,44:11
5,0.277107,1.224112,0.721903,0.871021,0.641995,44:11
6,0.148809,1.191411,0.738156,0.879672,0.664543,44:10
7,0.084284,1.186016,0.745928,0.883389,0.674224,44:15
8,0.048099,1.154855,0.758127,0.887579,0.685978,44:07
9,0.033079,1.136666,0.762215,0.891870,0.689615,44:07
10,0.024777,1.130037,0.767115,0.893864,0.694297,44:09
11,0.021237,1.142423,0.767723,0.895384,0.691724,44:08
12,0.018236,1.141149,0.770021,0.894742,0.697244,44:09
13,0.016024,1.137970,0.772015,0.895553,0.702114,44:08
14,0.014069,1.136510,0.772589,0.897074,0.698928,44:06
15,0.012398,1.126291,0.774954,0.897750,0.700880,44:10
16,0.011618,1.134688,0.772690,0.897243,0.699141,44:11
17,0.011016,1.133354,0.774346,0.898324,0.701651,44:11
18,0.009985,1.134352,0.774346,0.896972,0.701327,44:20
19,0.009524,1.136717,0.776441,0.897750,0.703755,43:59
20,0.009048,1.126755,0.776880,0.900385,0.703555,44:02
21,0.008349,1.136227,0.776847,0.897378,0.704907,44:02
22,0.007485,1.133008,0.779786,0.898561,0.708116,44:01
23,0.007302,1.129375,0.779786,0.899304,0.708522,44:04
24,0.006784,1.128760,0.779381,0.899338,0.707223,44:09
25,0.006532,1.133991,0.778975,0.899101,0.706670,43:54
26,0.006264,1.132205,0.779550,0.899777,0.706938,44:02
27,0.006077,1.136229,0.779753,0.900149,0.707446,43:50
28,0.005791,1.134285,0.780564,0.899946,0.706939,43:54
29,0.005547,1.134410,0.781307,0.899709,0.707246,43:51
