epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.443364,1.620409,0.607995,0.788707,0.487286,44:40
1,1.270132,1.375503,0.663378,0.831520,0.565006,44:41
2,0.919446,1.292425,0.680442,0.845813,0.592744,44:41
3,0.681088,1.274592,0.694533,0.853315,0.606493,44:41
4,0.491177,1.311087,0.689870,0.851727,0.609226,44:45
5,0.344206,1.362590,0.704501,0.856288,0.622746,44:41
6,0.191321,1.343380,0.719132,0.865851,0.641639,44:44
7,0.111793,1.362053,0.725079,0.868352,0.649198,44:42
8,0.059288,1.289791,0.744509,0.880111,0.670278,44:44
9,0.036241,1.259353,0.751402,0.883726,0.678582,44:45
10,0.026300,1.260165,0.754275,0.886092,0.678256,44:43
11,0.019346,1.240943,0.755221,0.886362,0.678902,44:42
12,0.015797,1.218188,0.764750,0.889403,0.692218,44:42
13,0.012907,1.215754,0.764378,0.890113,0.692821,44:42
14,0.010956,1.224571,0.764547,0.890822,0.692618,44:35
15,0.009216,1.219893,0.768703,0.892377,0.698592,44:43
16,0.007493,1.212026,0.768838,0.892850,0.697979,44:43
17,0.006929,1.219428,0.768433,0.892242,0.695966,44:45
18,0.006141,1.220255,0.769447,0.892411,0.695618,44:44
19,0.005660,1.224012,0.770663,0.894202,0.698312,44:44
20,0.005334,1.222811,0.770426,0.893053,0.698657,44:43
21,0.005054,1.218580,0.770967,0.893323,0.698406,44:36
22,0.004879,1.223035,0.771305,0.894337,0.698886,44:29
23,0.004498,1.222277,0.772859,0.895080,0.701106,44:31
24,0.004348,1.224323,0.771339,0.895452,0.699580,44:24
25,0.004090,1.224662,0.773265,0.895080,0.700852,44:32
26,0.004201,1.223710,0.772555,0.895553,0.700057,44:32
27,0.003756,1.220984,0.773265,0.895790,0.700197,44:34
28,0.003735,1.222376,0.774245,0.896060,0.701485,44:43
29,0.003571,1.221580,0.774819,0.896398,0.701668,44:43
