epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.516282,1.963083,0.541495,0.726904,0.304309,41:58
1,1.728944,1.455181,0.640603,0.814523,0.463824,41:50
2,1.284961,1.291449,0.673582,0.840407,0.533833,41:50
3,1.041171,1.197119,0.694634,0.857370,0.574287,41:57
4,0.867887,1.172671,0.703082,0.861391,0.590548,41:51
5,0.728193,1.151778,0.710516,0.867000,0.603853,41:50
6,0.615640,1.149502,0.716463,0.870649,0.616114,41:48
7,0.519658,1.174599,0.713692,0.869365,0.612990,42:02
8,0.435251,1.167694,0.723660,0.871021,0.629935,41:58
9,0.338127,1.188240,0.724066,0.873251,0.630987,41:47
10,0.277479,1.221291,0.725316,0.872136,0.633984,41:55
11,0.211831,1.241468,0.728323,0.872846,0.641496,42:01
12,0.172435,1.289213,0.726566,0.869399,0.634708,41:55
13,0.132392,1.279847,0.728898,0.872744,0.640710,41:51
14,0.109303,1.299701,0.732175,0.874400,0.645454,42:00
15,0.086331,1.314893,0.732885,0.874502,0.648184,41:41
16,0.074399,1.311448,0.735825,0.876833,0.648258,41:19
17,0.061721,1.315402,0.739474,0.877543,0.649800,41:21
18,0.053487,1.322738,0.742211,0.879198,0.654838,41:15
19,0.045275,1.343182,0.742144,0.878320,0.656349,41:25
20,0.040874,1.340647,0.742279,0.879401,0.657931,41:19
21,0.035931,1.355239,0.742617,0.878692,0.656182,41:22
22,0.032489,1.355040,0.741569,0.879334,0.654172,41:35
23,0.029503,1.348888,0.743090,0.880111,0.655276,41:30
24,0.027074,1.350094,0.744982,0.880888,0.659893,41:34
25,0.024792,1.357677,0.744306,0.881091,0.657981,41:34
26,0.022815,1.366365,0.745219,0.880111,0.657576,41:29
27,0.021714,1.352908,0.746874,0.881294,0.657777,41:24
28,0.020556,1.369576,0.743901,0.878793,0.659178,41:31
29,0.019176,1.357967,0.748192,0.882341,0.661181,41:32
