epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.399462,1.852480,0.559032,0.743968,0.324792,41:31
1,1.647634,1.375466,0.653849,0.827702,0.486251,41:03
2,1.229554,1.244151,0.682807,0.851321,0.544939,41:14
3,1.001287,1.357530,0.705886,0.862371,0.584528,42:09
4,0.841062,1.129311,0.719132,0.873589,0.607767,42:33
5,0.713047,1.610306,0.727647,0.877847,0.619224,41:53
6,0.605544,1.101637,0.728323,0.879672,0.628440,41:59
7,0.517398,1.121271,0.729472,0.878083,0.628618,41:18
8,0.440700,1.116919,0.733291,0.882476,0.636281,41:40
9,0.347418,1.150426,0.734980,0.881496,0.640165,41:35
10,0.284817,1.842337,0.735419,0.880043,0.644595,41:45
11,0.221212,1.175756,0.742955,0.881868,0.649877,41:15
12,0.183530,1.247923,0.738359,0.880246,0.648968,41:12
13,0.140329,2.043866,0.744746,0.883253,0.653453,41:09
14,0.116918,1.243955,0.745083,0.885179,0.654261,41:20
15,0.092418,1.267511,0.746300,0.883794,0.658887,41:27
16,0.078709,1.421905,0.751842,0.885112,0.664135,41:08
17,0.064498,1.895577,0.751166,0.887612,0.666843,41:03
18,0.057306,1.545878,0.753159,0.885652,0.667733,41:15
19,0.047459,1.346907,0.754883,0.887477,0.668807,41:13
20,0.042979,1.284680,0.754545,0.888119,0.668632,41:06
21,0.037260,1.520760,0.756674,0.888288,0.670349,41:13
22,0.034042,1.804691,0.756910,0.888390,0.671138,41:19
23,0.030446,1.555605,0.756775,0.887173,0.670373,41:10
24,0.028432,1.545334,0.757755,0.887680,0.671102,41:16
25,0.025719,1.292172,0.759918,0.888187,0.676044,41:09
26,0.023979,1.299545,0.758802,0.886058,0.673150,41:06
27,0.022655,3.022764,0.758262,0.888322,0.673012,41:13
28,0.021630,1.554217,0.760560,0.889572,0.674173,41:12
29,0.019942,1.296890,0.762824,0.889572,0.681100,41:04
