epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.590041,2.002812,0.534872,0.718693,0.282204,35:15
1,1.665924,1.421962,0.643813,0.820166,0.468060,35:40
2,1.199108,1.244748,0.684429,0.848483,0.538868,35:39
3,0.945460,1.156675,0.707103,0.863249,0.580233,34:51
4,0.765072,1.124773,0.718254,0.869365,0.606138,34:54
5,0.627450,1.112345,0.722140,0.873015,0.615569,34:45
6,0.511320,1.130896,0.723052,0.872947,0.618167,34:59
7,0.420680,1.126042,0.730452,0.874535,0.630060,34:50
8,0.309747,1.145703,0.732209,0.876867,0.637982,34:41
9,0.242346,1.185283,0.733291,0.875684,0.635083,34:52
10,0.170660,1.162255,0.742076,0.884199,0.647978,34:45
11,0.131333,1.206427,0.742752,0.882713,0.650841,34:54
12,0.094542,1.214056,0.748057,0.884909,0.655395,34:53
13,0.071803,1.229849,0.751098,0.886430,0.661985,34:45
14,0.054456,1.236209,0.754680,0.885821,0.667248,34:51
15,0.045135,1.243554,0.754917,0.885821,0.665971,34:41
16,0.034964,1.246837,0.757045,0.886801,0.668445,34:38
17,0.029427,1.263638,0.757079,0.886531,0.668867,34:56
18,0.023364,1.262828,0.761979,0.890485,0.673656,34:47
19,0.021851,1.276595,0.759951,0.888964,0.671460,34:45
20,0.018371,1.269256,0.763229,0.890282,0.674800,34:52
21,0.016369,1.289743,0.761066,0.889843,0.673150,34:45
22,0.014738,1.295595,0.762384,0.889640,0.675977,34:53
23,0.013845,1.286765,0.763635,0.889775,0.678041,34:54
24,0.012451,1.286676,0.764750,0.890349,0.678766,34:43
25,0.011450,1.296510,0.764919,0.892073,0.678457,34:55
26,0.010904,1.307036,0.764750,0.891938,0.676507,34:44
27,0.009916,1.299846,0.765392,0.891228,0.678353,34:43
28,0.009387,1.319822,0.766676,0.892039,0.679757,34:48
29,0.009040,1.309589,0.766574,0.892343,0.679511,34:42
