epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.499526,1.656696,0.601845,0.781746,0.464044,19:25
1,1.347446,1.475654,0.633777,0.811448,0.538323,19:34
2,1.012185,1.375514,0.661519,0.832061,0.570492,19:55
3,0.773986,1.394030,0.661756,0.830168,0.572671,19:51
4,0.583882,1.397119,0.667331,0.835440,0.585909,19:22
5,0.380333,1.385191,0.681523,0.846320,0.601046,18:50
6,0.260446,1.421581,0.686964,0.844597,0.605900,18:42
7,0.155583,1.400160,0.698351,0.852098,0.619772,18:32
8,0.100602,1.413920,0.702473,0.854531,0.624442,18:39
9,0.064834,1.395708,0.710786,0.859600,0.634583,18:42
10,0.048517,1.403954,0.714571,0.860546,0.638538,18:32
11,0.034709,1.382274,0.721869,0.865175,0.647036,19:04
12,0.029108,1.405969,0.722984,0.861796,0.647481,18:42
13,0.024213,1.405955,0.724268,0.866189,0.647035,18:52
14,0.020675,1.402837,0.724775,0.867541,0.647660,18:37
15,0.018547,1.398896,0.727141,0.867270,0.651969,18:40
16,0.017084,1.402660,0.725181,0.867811,0.648202,18:44
17,0.015023,1.397528,0.729776,0.868250,0.654767,18:35
18,0.014596,1.406130,0.726870,0.868960,0.652975,18:32
19,0.013238,1.400065,0.730858,0.869670,0.655654,18:35
20,0.012353,1.405860,0.729743,0.868352,0.654043,18:30
21,0.011769,1.412117,0.729405,0.866290,0.653315,18:40
22,0.011442,1.405595,0.732209,0.868690,0.657087,18:34
23,0.010501,1.401368,0.734169,0.869703,0.657833,18:43
24,0.010203,1.403294,0.733933,0.869467,0.658137,18:47
25,0.009428,1.403488,0.732344,0.870176,0.655209,18:33
26,0.009239,1.405620,0.733696,0.869568,0.659160,18:28
27,0.008779,1.408590,0.733054,0.870041,0.659587,18:46
28,0.008493,1.409557,0.733865,0.869974,0.659908,18:55
29,0.008128,1.409334,0.733257,0.870852,0.658140,18:40
