epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.152334,1.347302,0.667737,0.834088,0.535963,44:04
1,1.048982,1.172679,0.703690,0.861796,0.610592,44:26
2,0.748166,1.107699,0.721869,0.875211,0.636947,44:20
3,0.542708,1.100185,0.731838,0.880956,0.653197,44:16
4,0.380756,1.115483,0.732547,0.881294,0.655180,44:10
5,0.255055,1.147936,0.735217,0.882003,0.659668,44:06
6,0.141230,1.101368,0.757451,0.890822,0.683955,44:05
7,0.083221,1.121290,0.756336,0.893086,0.684380,44:18
8,0.049804,1.101349,0.767723,0.896668,0.696293,44:05
9,0.035730,1.105864,0.768703,0.899000,0.698585,44:07
10,0.026593,1.090796,0.775022,0.900622,0.704781,44:04
11,0.022000,1.088230,0.777185,0.901737,0.705250,44:05
12,0.020212,1.094691,0.778604,0.901804,0.705730,44:05
13,0.018126,1.095732,0.778773,0.902345,0.709102,44:03
14,0.015801,1.098788,0.778063,0.900926,0.708800,44:06
15,0.014517,1.097636,0.780733,0.903088,0.710077,44:04
16,0.013091,1.099848,0.782084,0.903393,0.711758,44:07
17,0.012176,1.099198,0.783605,0.902784,0.711642,44:05
18,0.011368,1.098776,0.782084,0.902953,0.710795,44:04
19,0.010787,1.095977,0.784619,0.904508,0.713776,44:04
20,0.009965,1.095024,0.786342,0.904068,0.717033,44:05
21,0.009803,1.102166,0.784585,0.904102,0.715460,44:03
22,0.008849,1.100864,0.784821,0.903494,0.716620,44:10
23,0.008633,1.101480,0.785092,0.904373,0.713993,44:05
24,0.008260,1.102755,0.786038,0.904305,0.715240,44:03
25,0.007693,1.101591,0.785058,0.904508,0.714574,44:04
26,0.007695,1.103627,0.786409,0.904778,0.716722,44:11
27,0.007349,1.105557,0.785666,0.904879,0.716668,44:19
28,0.007085,1.102772,0.786308,0.905420,0.716565,44:14
29,0.006762,1.103970,0.787187,0.905150,0.717387,44:12
