epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.443447,1.603607,0.609211,0.791613,0.474092,32:54
1,1.204614,1.343109,0.665675,0.835304,0.567860,32:49
2,0.792880,1.313188,0.676083,0.844327,0.589157,32:50
3,0.488968,1.313964,0.687504,0.849530,0.605213,32:50
4,0.270710,1.331779,0.694296,0.855140,0.611348,32:51
5,0.128924,1.313083,0.708759,0.861931,0.630139,32:51
6,0.068522,1.283799,0.721160,0.867203,0.640727,32:57
7,0.048052,1.301940,0.720889,0.867101,0.642771,33:08
8,0.033227,1.280567,0.731500,0.872102,0.652963,33:06
9,0.026985,1.269828,0.736872,0.873927,0.657557,33:02
10,0.024634,1.343312,0.725113,0.866561,0.648116,33:09
11,0.021720,1.313912,0.730858,0.870514,0.653598,33:13
12,0.017830,1.298591,0.735656,0.872508,0.657311,33:11
13,0.015057,1.283712,0.740353,0.873893,0.661517,33:07
14,0.012791,1.293419,0.737379,0.875042,0.658647,33:03
15,0.011936,1.280746,0.742583,0.877813,0.664284,33:06
16,0.011063,1.277991,0.744137,0.877644,0.666616,33:14
17,0.010460,1.275354,0.745185,0.878793,0.666692,33:13
18,0.009215,1.279826,0.744948,0.878793,0.664352,33:23
19,0.008304,1.268383,0.746435,0.879165,0.669262,33:13
20,0.007912,1.271669,0.745523,0.879672,0.668355,33:15
21,0.007893,1.281742,0.745354,0.879503,0.667414,33:08
22,0.007386,1.275504,0.745894,0.879367,0.668073,33:07
23,0.006722,1.269355,0.748158,0.880077,0.669996,33:03
24,0.006598,1.274422,0.748767,0.880212,0.671365,33:02
25,0.006130,1.273673,0.749409,0.880381,0.672541,33:01
26,0.005511,1.276441,0.749240,0.881057,0.671075,33:08
27,0.005451,1.275120,0.751267,0.881226,0.672165,33:03
28,0.005153,1.276219,0.749240,0.881091,0.671117,33:02
29,0.004950,1.280443,0.749105,0.880854,0.671379,33:08
