epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.494678,3.053333,0.302473,0.482143,0.137660,06:15
1,2.293560,1.740575,0.532967,0.750824,0.371307,06:12
2,1.466224,1.470588,0.600549,0.803846,0.474687,06:12
3,1.122705,1.385408,0.619780,0.815934,0.503732,06:12
4,0.869391,1.334496,0.652198,0.839011,0.537891,06:12
5,0.674772,1.388117,0.649725,0.829396,0.547687,06:12
6,0.504501,1.382060,0.659615,0.842857,0.554496,06:12
7,0.321499,1.410284,0.671978,0.849176,0.576687,06:12
8,0.226754,1.418518,0.681868,0.852198,0.583564,06:12
9,0.140096,1.384588,0.687912,0.864286,0.582185,06:12
10,0.098204,1.422335,0.693407,0.860440,0.595036,06:12
11,0.066159,1.363479,0.706319,0.869231,0.600727,06:13
12,0.051313,1.341252,0.715659,0.875549,0.621113,06:13
13,0.040051,1.389770,0.711813,0.875549,0.617158,06:14
14,0.032177,1.354783,0.717308,0.878846,0.626888,06:13
15,0.027019,1.347117,0.715110,0.879670,0.618537,06:13
16,0.024405,1.363426,0.717308,0.883791,0.618185,06:13
17,0.021707,1.358070,0.723077,0.877198,0.621945,06:13
18,0.020184,1.335318,0.728846,0.882143,0.640865,06:13
19,0.018283,1.362434,0.716758,0.881593,0.620584,06:13
20,0.015370,1.349798,0.722802,0.881044,0.634798,06:13
21,0.013849,1.347894,0.725275,0.884341,0.635349,06:13
22,0.013530,1.365229,0.721978,0.881868,0.628298,06:13
23,0.012701,1.341047,0.731319,0.884890,0.639489,06:13
24,0.011823,1.349560,0.731868,0.880769,0.643099,06:13
25,0.011165,1.348349,0.730769,0.883791,0.637257,06:13
26,0.011498,1.352218,0.731044,0.882967,0.639268,06:13
27,0.010561,1.354022,0.724451,0.880495,0.632621,06:13
28,0.010754,1.349920,0.729945,0.888462,0.639305,06:13
29,0.010503,1.351246,0.728022,0.887637,0.634415,06:13
