epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.210834,1.511626,0.579670,0.796429,0.425151,05:32
1,1.130200,1.322223,0.641758,0.829396,0.520523,05:29
2,0.767133,1.226085,0.674451,0.851648,0.552296,05:29
3,0.495495,1.262965,0.671154,0.852473,0.553126,05:29
4,0.297238,1.261478,0.682418,0.853571,0.565125,05:29
5,0.143635,1.245466,0.686538,0.868681,0.581232,05:29
6,0.070626,1.243482,0.700000,0.870055,0.595222,05:30
7,0.037138,1.214767,0.711264,0.875000,0.605497,05:29
8,0.022339,1.211851,0.713736,0.878297,0.612312,05:29
9,0.016026,1.235718,0.719231,0.871429,0.612357,05:29
10,0.012684,1.240273,0.721429,0.873901,0.621552,05:29
11,0.010529,1.231746,0.721429,0.876374,0.617837,05:29
12,0.009564,1.242229,0.723626,0.877198,0.629163,05:29
13,0.007806,1.250770,0.721154,0.876099,0.620055,05:30
14,0.008254,1.249395,0.725275,0.877198,0.628480,05:29
15,0.006302,1.249019,0.722802,0.876648,0.625029,05:29
16,0.005960,1.251435,0.722253,0.875549,0.623431,05:29
17,0.005167,1.246794,0.727473,0.875275,0.633717,05:30
18,0.005309,1.259356,0.728022,0.876648,0.632428,05:30
19,0.004850,1.255097,0.726923,0.876648,0.629842,05:29
20,0.004402,1.256517,0.726374,0.876923,0.632180,05:29
21,0.003889,1.255571,0.725824,0.876374,0.628995,05:29
22,0.003895,1.258415,0.728022,0.878571,0.630696,05:30
23,0.003374,1.260534,0.725824,0.876648,0.628539,05:30
24,0.003506,1.263222,0.727473,0.876099,0.630938,05:30
25,0.003592,1.264341,0.727198,0.876099,0.630282,05:29
26,0.003397,1.268122,0.726648,0.876099,0.630502,05:29
27,0.003689,1.273833,0.726374,0.876374,0.629022,05:29
28,0.003288,1.273621,0.730495,0.875549,0.634208,05:30
29,0.003061,1.277443,0.729121,0.875000,0.632132,05:30
