epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.276998,1.619477,0.561538,0.769505,0.405002,05:33
1,1.281373,1.473736,0.589835,0.795879,0.457059,05:27
2,0.936445,1.430772,0.613736,0.817308,0.484234,05:29
3,0.689864,1.424045,0.638187,0.825824,0.517882,05:28
4,0.497233,1.603620,0.622802,0.816209,0.508682,05:29
5,0.341669,1.681733,0.609890,0.811813,0.500701,05:29
6,0.206607,1.710823,0.643132,0.830220,0.532981,05:29
7,0.118110,1.723053,0.653022,0.834890,0.543655,05:29
8,0.063646,1.680312,0.671429,0.850549,0.564463,05:28
9,0.033307,1.600789,0.684066,0.855495,0.573196,05:29
10,0.015669,1.543655,0.698077,0.859615,0.592111,05:29
11,0.010326,1.509946,0.702747,0.869780,0.590619,05:30
12,0.007185,1.508685,0.705769,0.867308,0.601933,05:30
13,0.006191,1.518808,0.705495,0.864286,0.606605,05:29
14,0.005755,1.507428,0.706593,0.867857,0.609083,05:29
15,0.004144,1.499591,0.710714,0.868956,0.606730,05:29
16,0.004166,1.489566,0.712363,0.871154,0.609811,05:30
17,0.003327,1.497611,0.712088,0.867582,0.605005,05:31
18,0.002797,1.495201,0.714011,0.867857,0.612379,05:28
19,0.003161,1.495925,0.713462,0.871978,0.612205,05:28
20,0.002002,1.496373,0.715110,0.871978,0.610133,05:27
21,0.001943,1.493396,0.712912,0.870604,0.608098,05:28
22,0.002110,1.498281,0.717033,0.870055,0.617778,05:28
23,0.001689,1.491363,0.717308,0.873077,0.614026,05:29
24,0.002059,1.492679,0.714011,0.870879,0.607724,05:29
25,0.001994,1.485562,0.718132,0.871703,0.613413,05:29
26,0.001648,1.486210,0.717033,0.871154,0.613415,05:30
27,0.001484,1.494645,0.716209,0.871154,0.612779,05:29
28,0.001880,1.495364,0.717033,0.871429,0.612738,05:29
29,0.002100,1.492345,0.714011,0.871154,0.610572,05:30
