epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.377106,2.150592,0.469780,0.670879,0.223520,05:16
1,1.816861,1.558627,0.575000,0.780769,0.364986,05:11
2,1.332178,1.376059,0.623901,0.811813,0.445399,05:13
3,1.052489,1.296112,0.640110,0.828022,0.492938,05:09
4,0.839324,1.271909,0.645055,0.840934,0.511980,05:13
5,0.669156,1.258331,0.659890,0.844505,0.522535,05:11
6,0.528344,1.283830,0.658516,0.844780,0.534626,05:08
7,0.403239,1.325171,0.662088,0.845055,0.548877,05:09
8,0.293629,1.347961,0.664286,0.843956,0.549696,05:06
9,0.223252,1.382146,0.660714,0.846429,0.543720,05:06
10,0.166521,1.402293,0.667582,0.843681,0.556780,05:05
11,0.127907,1.449329,0.665934,0.842857,0.549253,05:10
12,0.093731,1.446528,0.673901,0.848077,0.564236,05:07
13,0.074567,1.476463,0.678022,0.848077,0.569389,05:03
14,0.064515,1.474801,0.678022,0.850000,0.574213,05:05
15,0.050024,1.503399,0.671703,0.845330,0.564369,05:03
16,0.043789,1.501181,0.675275,0.847253,0.558890,05:03
17,0.038910,1.499418,0.670604,0.849451,0.560267,05:02
18,0.033806,1.522815,0.674451,0.848352,0.558019,05:04
19,0.030727,1.529208,0.685165,0.850275,0.572871,05:02
20,0.027775,1.560885,0.679396,0.844505,0.571482,05:06
21,0.024836,1.555600,0.683516,0.851374,0.582225,05:01
22,0.022410,1.581305,0.680220,0.846703,0.573492,05:05
23,0.020744,1.534365,0.683791,0.848352,0.566433,05:04
24,0.020383,1.558307,0.683516,0.848352,0.569854,05:06
25,0.018606,1.566439,0.685714,0.852198,0.574866,05:07
26,0.018946,1.563944,0.682967,0.850549,0.576470,05:02
27,0.017337,1.556387,0.685714,0.850549,0.572108,05:04
28,0.014960,1.570812,0.679396,0.852473,0.571247,05:03
29,0.014906,1.591539,0.682418,0.851099,0.572538,05:04
