epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.353683,2.049833,0.473352,0.692857,0.224862,05:06
1,1.748625,1.473507,0.602747,0.797527,0.384809,05:04
2,1.278764,1.272146,0.647527,0.833516,0.482105,05:05
3,1.002835,1.214990,0.657967,0.844231,0.505901,05:05
4,0.797077,1.201264,0.668132,0.857143,0.540102,05:06
5,0.643151,1.187434,0.679670,0.851923,0.548176,05:02
6,0.508759,1.213074,0.675000,0.857692,0.556649,05:02
7,0.401591,1.283135,0.677747,0.853846,0.560943,05:03
8,0.288105,1.259838,0.678022,0.860714,0.553796,05:01
9,0.219251,1.330825,0.677198,0.852747,0.555772,05:03
10,0.165899,1.348141,0.683791,0.852747,0.565518,05:02
11,0.123715,1.384842,0.688187,0.854121,0.564910,05:06
12,0.094506,1.390360,0.690385,0.851374,0.571972,05:08
13,0.078839,1.410877,0.690659,0.858516,0.570782,05:05
14,0.062476,1.413278,0.691758,0.856319,0.583416,05:08
15,0.050281,1.424316,0.695330,0.859341,0.585216,05:03
16,0.044198,1.418576,0.693956,0.862912,0.582761,05:06
17,0.037620,1.424997,0.700549,0.861264,0.589239,05:04
18,0.032500,1.434561,0.698352,0.864835,0.584902,05:03
19,0.027765,1.454902,0.701648,0.861813,0.591973,05:03
20,0.025160,1.493767,0.695879,0.860440,0.584377,05:01
21,0.024030,1.467348,0.697802,0.862912,0.581942,05:06
22,0.021789,1.524932,0.695055,0.854396,0.583312,05:03
23,0.019644,1.448485,0.701923,0.861264,0.597115,05:07
24,0.018961,1.476612,0.700000,0.859066,0.595370,05:07
25,0.016519,1.497903,0.704396,0.857692,0.591330,05:08
26,0.015163,1.511850,0.697527,0.862088,0.589262,05:05
27,0.015695,1.493979,0.701923,0.856593,0.590898,05:10
28,0.013790,1.522858,0.701374,0.858516,0.588173,05:12
29,0.013168,1.523620,0.697253,0.860165,0.584405,05:09
