epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.423557,2.183702,0.462088,0.665385,0.203813,04:26
1,1.788473,1.564846,0.584615,0.782418,0.372294,04:24
2,1.257148,1.369988,0.620879,0.819231,0.429117,04:20
3,0.945884,1.300368,0.643407,0.827473,0.491913,04:16
4,0.728428,1.260826,0.651099,0.844780,0.514925,04:16
5,0.545872,1.307193,0.652747,0.833791,0.512877,04:17
6,0.412212,1.307924,0.664286,0.843407,0.535226,04:17
7,0.279249,1.344326,0.667582,0.841209,0.549247,04:17
8,0.196865,1.401322,0.672253,0.839560,0.554616,04:16
9,0.134393,1.405000,0.679121,0.848901,0.564959,04:18
10,0.095069,1.441213,0.679121,0.852198,0.568641,04:16
11,0.065586,1.444351,0.681044,0.849176,0.569862,04:16
12,0.048038,1.450892,0.693132,0.853571,0.580268,04:16
13,0.035372,1.492087,0.691209,0.853297,0.588324,04:16
14,0.031205,1.492851,0.695604,0.854670,0.583224,04:18
15,0.026288,1.481959,0.696429,0.858242,0.591086,04:17
16,0.022572,1.507094,0.690110,0.850824,0.582449,04:17
17,0.018386,1.503097,0.692582,0.857692,0.579977,04:17
18,0.016442,1.518039,0.689835,0.855220,0.578540,04:16
19,0.014517,1.511595,0.699725,0.856044,0.589134,04:16
20,0.012238,1.557656,0.695879,0.854670,0.589054,04:16
21,0.010661,1.541631,0.695879,0.855495,0.589138,04:16
22,0.009772,1.566353,0.692582,0.855495,0.591046,04:16
23,0.007963,1.554067,0.698901,0.857418,0.590022,04:16
24,0.008972,1.546576,0.699725,0.857692,0.590295,04:16
25,0.008030,1.565881,0.699725,0.856319,0.594073,04:16
26,0.007771,1.557930,0.696703,0.858516,0.589048,04:16
27,0.006474,1.574475,0.698626,0.856319,0.590893,04:16
28,0.006332,1.577366,0.696703,0.855495,0.582299,04:16
29,0.005967,1.584103,0.697253,0.855769,0.589898,04:16
