epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.026412,1.381050,0.621429,0.821703,0.447588,05:33
1,1.040867,1.249290,0.662088,0.845879,0.530498,05:30
2,0.723814,1.123310,0.692582,0.866484,0.564211,05:30
3,0.481936,1.109562,0.704670,0.868681,0.591567,05:29
4,0.309824,1.138651,0.707692,0.871978,0.599074,05:30
5,0.183087,1.155923,0.716758,0.875275,0.623495,05:30
6,0.094136,1.141999,0.721978,0.880495,0.628332,05:30
7,0.055696,1.145505,0.728571,0.880220,0.627806,05:30
8,0.032519,1.153630,0.735165,0.881319,0.637161,05:30
9,0.022962,1.158247,0.735165,0.882692,0.637473,05:30
10,0.016607,1.155294,0.741758,0.881868,0.644047,05:30
11,0.013914,1.161987,0.739286,0.885165,0.642297,05:30
12,0.012631,1.159669,0.739286,0.881868,0.645740,05:29
13,0.010853,1.163546,0.739560,0.881868,0.648585,05:30
14,0.009895,1.169709,0.740385,0.882418,0.642092,05:30
15,0.008823,1.174986,0.738187,0.883791,0.647151,05:30
16,0.008296,1.165929,0.747253,0.885165,0.656626,05:29
17,0.007787,1.171137,0.746978,0.882692,0.652975,05:29
18,0.006978,1.168176,0.747527,0.883516,0.654188,05:29
19,0.006799,1.174173,0.745604,0.885440,0.653192,05:29
20,0.006172,1.179783,0.748901,0.882692,0.656022,05:29
21,0.006244,1.181134,0.748077,0.883242,0.656549,05:30
22,0.005933,1.188364,0.746703,0.883791,0.653171,05:30
23,0.004887,1.183475,0.745330,0.884615,0.650084,05:29
24,0.005234,1.189571,0.748352,0.885165,0.651220,05:29
25,0.005216,1.193766,0.745879,0.883791,0.647083,05:29
26,0.004704,1.198768,0.745604,0.884615,0.649760,05:29
27,0.004833,1.199273,0.747253,0.883791,0.652252,05:29
28,0.004369,1.199725,0.747253,0.882418,0.652187,05:29
29,0.004355,1.200831,0.746429,0.882967,0.653190,05:29
