epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.194405,1.564869,0.569505,0.779945,0.419601,05:06
1,1.175365,1.419152,0.616758,0.814286,0.495148,04:05
2,0.758191,1.335713,0.643681,0.832692,0.535322,04:04
3,0.473855,1.361635,0.644780,0.832967,0.537266,04:05
4,0.225031,1.340915,0.664286,0.843407,0.551663,04:06
5,0.120443,1.318242,0.680495,0.849725,0.580771,04:06
6,0.049919,1.297809,0.692582,0.851099,0.595066,04:06
7,0.027668,1.290907,0.702198,0.856868,0.600232,04:05
8,0.044484,1.445752,0.658791,0.840110,0.549248,04:05
9,0.026607,1.362994,0.693681,0.857967,0.597253,04:06
10,0.012457,1.330756,0.695879,0.861264,0.591606,04:06
11,0.008957,1.358347,0.695604,0.856593,0.599246,04:06
12,0.007986,1.356476,0.701374,0.862088,0.602081,04:05
13,0.006433,1.353906,0.707143,0.861264,0.603123,04:05
14,0.006240,1.366970,0.700275,0.861264,0.596220,04:05
15,0.005226,1.351421,0.702198,0.860989,0.599690,04:05
16,0.004614,1.364341,0.702747,0.861813,0.596942,04:05
17,0.004056,1.359994,0.704121,0.862363,0.601806,04:02
18,0.003587,1.355206,0.709341,0.864835,0.603293,04:02
19,0.003807,1.360373,0.709890,0.864286,0.608921,04:02
20,0.003542,1.364211,0.706044,0.860440,0.601299,04:02
21,0.003393,1.366339,0.708516,0.860989,0.606808,04:02
22,0.002974,1.366965,0.708242,0.861264,0.609299,04:02
23,0.003092,1.368585,0.707692,0.863462,0.605785,04:02
24,0.002749,1.383682,0.702198,0.866484,0.591726,04:02
25,0.002804,1.367443,0.708791,0.867308,0.608743,04:02
26,0.002920,1.367362,0.708516,0.864011,0.604694,04:02
27,0.002464,1.368250,0.712363,0.865110,0.608587,04:02
28,0.002377,1.375121,0.706868,0.865385,0.603556,04:02
29,0.002313,1.375253,0.709341,0.862912,0.606503,04:02
