epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,7.278576,6.957549,0.002264,0.010576,0.000586,50:08
1,5.708415,3.845602,0.243293,0.421741,0.190632,50:04
2,2.952325,2.452222,0.460093,0.666892,0.394522,50:04
3,1.921324,2.012693,0.542644,0.743225,0.470914,50:01
4,1.410099,1.852837,0.579712,0.774448,0.511933,50:03
5,1.075255,1.753952,0.613300,0.798338,0.546880,50:04
6,0.802962,1.737469,0.647429,0.825133,0.573981,50:05
7,0.611239,1.744557,0.661283,0.834460,0.593596,49:52
8,0.478995,1.773313,0.663547,0.831993,0.599432,49:59
9,0.336607,1.722293,0.692674,0.851287,0.627880,49:59
10,0.252859,1.736901,0.710820,0.861560,0.646397,50:02
11,0.203964,1.771537,0.713286,0.865581,0.651802,50:04
12,0.147993,1.808068,0.721126,0.868622,0.656753,50:04
13,0.118627,1.758375,0.727783,0.874062,0.666609,50:04
14,0.092805,1.787748,0.734879,0.876766,0.671424,50:06
15,0.078135,1.755369,0.741468,0.880753,0.682387,50:07
16,0.063310,1.769232,0.748260,0.884842,0.685926,50:05
17,0.055582,1.771948,0.748868,0.884673,0.688351,50:03
18,0.046358,1.784642,0.752044,0.885078,0.690164,50:03
19,0.040663,1.802498,0.751943,0.885957,0.688208,50:06
20,0.036514,1.784396,0.756065,0.887849,0.693909,50:05
21,0.032548,1.794263,0.757924,0.888457,0.695911,50:09
22,0.028977,1.796487,0.759749,0.889403,0.699030,50:08
23,0.027115,1.805991,0.758634,0.889606,0.697090,50:04
24,0.025279,1.813578,0.760897,0.890180,0.700161,50:05
25,0.023630,1.797825,0.761607,0.891228,0.701727,50:07
26,0.022292,1.814859,0.763702,0.890214,0.699981,50:10
27,0.020982,1.815717,0.764243,0.891329,0.701826,50:13
28,0.019897,1.811579,0.764209,0.892546,0.702584,50:09
29,0.018540,1.817207,0.763972,0.891904,0.701302,49:51
