epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.350795,2.163986,0.496891,0.705413,0.436648,44:12
1,1.625554,1.857282,0.574711,0.766236,0.506371,44:15
2,1.080393,1.731142,0.620768,0.802696,0.556174,44:06
3,0.721551,1.708668,0.642428,0.822329,0.576494,44:10
4,0.480455,1.659090,0.670474,0.839697,0.604955,44:13
5,0.320749,1.664331,0.685747,0.845847,0.619402,44:09
6,0.207562,1.658519,0.705785,0.860647,0.642008,44:04
7,0.133748,1.654615,0.720585,0.871460,0.657008,44:09
8,0.093064,1.667529,0.726127,0.872440,0.667214,44:12
9,0.063510,1.675307,0.734102,0.875684,0.672902,44:08
10,0.041013,1.665618,0.740724,0.878523,0.678653,44:10
11,0.030512,1.647053,0.748631,0.883659,0.686922,44:09
12,0.023629,1.673188,0.751504,0.883051,0.689352,44:10
13,0.021197,1.670042,0.754410,0.883794,0.689504,44:09
14,0.015815,1.657230,0.756707,0.886328,0.692295,44:06
15,0.013612,1.673544,0.755626,0.886328,0.692682,44:04
16,0.012759,1.669978,0.757586,0.885957,0.693384,44:05
17,0.011232,1.683066,0.760120,0.887241,0.695344,44:07
18,0.010547,1.683809,0.758329,0.886734,0.692578,44:08
19,0.009104,1.689159,0.760796,0.887511,0.695288,44:08
20,0.008511,1.678394,0.762114,0.887984,0.697264,44:06
21,0.007805,1.681276,0.762046,0.888254,0.697454,44:08
22,0.007056,1.681258,0.764277,0.887883,0.700460,44:01
23,0.006989,1.683689,0.764141,0.889437,0.699628,44:05
24,0.006273,1.688079,0.764445,0.888727,0.700712,44:06
25,0.006389,1.688406,0.762857,0.888761,0.699325,44:05
26,0.005848,1.685539,0.764479,0.889674,0.698167,44:08
27,0.005896,1.694939,0.764040,0.889538,0.699228,44:11
28,0.005625,1.697407,0.763702,0.888423,0.697892,44:10
29,0.005207,1.695012,0.763972,0.888829,0.698830,44:11
