epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.456016,2.578188,0.421876,0.644218,0.343517,41:38
1,2.226758,1.984730,0.528790,0.738156,0.452485,41:38
2,1.603831,1.739409,0.581908,0.783132,0.512081,41:50
3,1.249774,1.623655,0.606677,0.802088,0.538093,41:57
4,1.003513,1.587859,0.629891,0.818037,0.555453,42:09
5,0.812302,1.541423,0.650571,0.829661,0.578762,42:15
6,0.658458,1.523018,0.663412,0.839461,0.598298,42:19
7,0.538171,1.554229,0.667433,0.843279,0.599903,42:05
8,0.441033,1.547611,0.680746,0.853045,0.613040,42:11
9,0.338134,1.564592,0.691863,0.859194,0.625525,42:08
10,0.273501,1.589236,0.695208,0.858688,0.629758,42:00
11,0.209813,1.608571,0.708353,0.867135,0.641396,42:02
12,0.175848,1.661064,0.711191,0.868014,0.647194,42:06
13,0.142159,1.651542,0.718592,0.870244,0.652316,42:04
14,0.122669,1.676613,0.722511,0.872204,0.658013,42:02
15,0.101951,1.723785,0.724336,0.871866,0.661259,42:09
16,0.089251,1.702706,0.723390,0.874366,0.657972,42:12
17,0.077144,1.716397,0.729472,0.875887,0.664127,42:14
18,0.067967,1.730617,0.729945,0.875313,0.664263,42:19
19,0.060783,1.741563,0.734237,0.877408,0.668152,42:19
20,0.054728,1.759047,0.736264,0.877914,0.670399,42:14
21,0.048541,1.792343,0.735386,0.878354,0.669365,42:05
22,0.045221,1.777141,0.735386,0.877543,0.666423,42:06
23,0.041447,1.801440,0.736602,0.877847,0.668957,42:12
24,0.039242,1.800664,0.736872,0.877610,0.672525,42:10
25,0.035916,1.806849,0.738224,0.878219,0.672306,42:06
26,0.033999,1.819342,0.736737,0.878455,0.670406,42:14
27,0.032503,1.829579,0.739136,0.878151,0.671696,42:17
28,0.030553,1.808389,0.737717,0.877678,0.670903,42:11
29,0.028825,1.819868,0.741198,0.880347,0.674744,42:12
