epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.455631,2.590293,0.414983,0.640197,0.332881,41:20
1,2.234902,1.919671,0.534635,0.748564,0.460177,41:14
2,1.614874,1.701228,0.586301,0.789484,0.517004,41:04
3,1.271401,1.599661,0.615733,0.810739,0.545209,40:57
4,1.029590,1.505509,0.643002,0.828411,0.572608,41:01
5,0.843426,1.500293,0.659627,0.841927,0.584738,40:59
6,0.688528,1.491983,0.664966,0.841150,0.601716,40:56
7,0.573926,1.488367,0.677164,0.850916,0.605312,40:54
8,0.471774,1.483913,0.681287,0.857167,0.615195,41:01
9,0.397727,1.568546,0.680205,0.853856,0.613244,41:02
10,0.343348,1.550643,0.698216,0.862776,0.632663,40:59
11,0.257452,1.577914,0.707779,0.870109,0.641083,41:01
12,0.210411,1.636471,0.716463,0.871832,0.650803,41:01
13,0.167082,1.612482,0.724268,0.877137,0.659378,41:04
14,0.139557,1.645581,0.726093,0.878556,0.658915,41:01
15,0.113350,1.672632,0.729303,0.880347,0.664372,41:04
16,0.097357,1.663709,0.734879,0.882104,0.669178,41:48
17,0.081160,1.674485,0.738900,0.884064,0.675738,41:49
18,0.071262,1.657604,0.740049,0.883862,0.677085,41:57
19,0.061225,1.711791,0.741873,0.884537,0.676694,41:47
20,0.055533,1.718587,0.739643,0.884639,0.675164,42:03
21,0.049149,1.740980,0.742346,0.884774,0.676585,41:37
22,0.045084,1.720612,0.747010,0.885348,0.679685,40:45
23,0.040972,1.754508,0.744847,0.884740,0.681135,40:51
24,0.038724,1.756958,0.746232,0.885010,0.680143,40:54
25,0.034376,1.760349,0.748767,0.886328,0.681651,40:45
26,0.032609,1.771497,0.745658,0.886632,0.680437,40:53
27,0.030742,4.097390,0.745523,0.884774,0.677825,41:00
28,0.028821,1.761239,0.747989,0.886531,0.680720,41:06
29,0.026980,1.774302,0.750253,0.887545,0.684125,41:02
