epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.588071,2.715871,0.398290,0.617186,0.319483,34:41
1,2.225373,1.950026,0.530209,0.745455,0.461146,34:35
2,1.559898,1.694558,0.589579,0.791782,0.521794,34:40
3,1.186572,1.585616,0.616274,0.809151,0.549969,34:39
4,0.926408,1.514813,0.646280,0.829695,0.577691,34:42
5,0.734684,1.495722,0.658816,0.840001,0.590549,34:50
6,0.580191,1.498845,0.668210,0.844664,0.602107,35:05
7,0.460578,1.530572,0.677671,0.852943,0.606772,35:02
8,0.333338,1.539502,0.701730,0.864601,0.636605,35:09
9,0.249881,1.524365,0.713489,0.872711,0.649781,35:09
10,0.176420,1.555255,0.726431,0.878455,0.660632,35:02
11,0.138654,1.598755,0.728154,0.879232,0.662096,35:02
12,0.107012,1.627744,0.736230,0.882882,0.673496,35:03
13,0.082759,1.627531,0.740927,0.882240,0.675353,35:08
14,0.065201,1.684627,0.744746,0.884166,0.682867,35:11
15,0.054294,1.702741,0.744441,0.884673,0.679477,35:10
16,0.044242,1.709064,0.746232,0.885923,0.682168,35:08
17,0.038317,1.729542,0.749882,0.886463,0.686096,35:09
18,0.033340,1.739556,0.748834,0.886227,0.683992,35:11
19,0.029677,1.748000,0.749442,0.885889,0.681702,35:10
20,0.026631,1.756509,0.751774,0.886869,0.686697,35:11
21,0.024030,1.765704,0.752788,0.886632,0.687164,35:10
22,0.021775,1.779605,0.751706,0.886092,0.685940,35:07
23,0.019790,1.775050,0.750389,0.886801,0.683809,35:06
24,0.017790,1.794216,0.752416,0.887579,0.686097,34:58
25,0.017154,1.803921,0.753058,0.887410,0.687083,35:05
26,0.016004,1.805738,0.751774,0.886768,0.686962,35:06
27,0.015224,1.807648,0.754241,0.887308,0.688485,35:07
28,0.014288,1.801341,0.754207,0.886599,0.688865,35:05
29,0.013546,1.819186,0.755119,0.887274,0.690999,35:07
