epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.343511,2.314947,0.466007,0.667872,0.407094,18:05
1,1.783684,2.049867,0.532338,0.730317,0.464802,18:09
2,1.215560,1.924628,0.576502,0.767216,0.510231,17:55
3,0.821665,1.871144,0.594411,0.782321,0.527882,17:42
4,0.566465,1.854912,0.613368,0.799655,0.555335,17:56
5,0.394673,1.875059,0.643272,0.822836,0.578505,17:59
6,0.276124,1.900438,0.656518,0.826080,0.592862,17:42
7,0.187550,1.869945,0.674529,0.839630,0.612579,17:48
8,0.127326,1.917151,0.688450,0.848010,0.624664,17:45
9,0.085883,1.958930,0.690343,0.846591,0.626012,17:57
10,0.069029,1.935422,0.699736,0.852065,0.636228,17:51
11,0.052210,1.952396,0.704940,0.855917,0.637664,17:43
12,0.040574,1.970391,0.706495,0.856221,0.639862,17:50
13,0.033919,1.996185,0.706224,0.856288,0.641479,17:38
14,0.029811,1.987830,0.709401,0.856390,0.642996,17:57
15,0.026080,2.000931,0.711293,0.858046,0.647139,17:48
16,0.023363,2.010359,0.712340,0.859262,0.647014,17:52
17,0.020486,2.022953,0.713658,0.859127,0.647800,17:59
18,0.018633,2.011747,0.712577,0.859904,0.647323,18:01
19,0.017522,2.026146,0.713827,0.858857,0.647423,18:05
20,0.015917,2.022682,0.713185,0.859161,0.648019,18:01
21,0.014488,2.021095,0.714942,0.859330,0.648773,18:07
22,0.014522,2.024561,0.713151,0.859938,0.647678,17:54
23,0.013335,2.044483,0.713996,0.860276,0.648115,17:56
24,0.011870,2.050481,0.715111,0.861357,0.648232,17:58
25,0.011350,2.052293,0.714266,0.859566,0.647876,17:55
26,0.011032,2.047895,0.714773,0.860884,0.647351,17:53
27,0.010544,2.048349,0.713388,0.860141,0.645381,17:55
28,0.010067,2.061895,0.715888,0.859904,0.649975,18:01
29,0.009854,2.053953,0.716429,0.860850,0.650333,17:45
