epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.059588,2.018250,0.551260,0.750118,0.473902,2:00:41
1,1.468547,1.678004,0.614990,0.803406,0.542533,2:00:52
2,0.803270,1.420134,0.686626,0.853112,0.620893,2:00:52
3,0.437533,1.368947,0.719031,0.872744,0.655144,2:00:49
4,0.234907,1.348310,0.747111,0.888660,0.687901,2:00:47
5,0.129489,1.354508,0.758498,0.894134,0.699303,2:00:46
6,0.075196,1.371195,0.763533,0.896939,0.705959,2:00:42
7,0.042627,1.359126,0.775056,0.901906,0.718115,2:00:47
8,0.029340,1.337864,0.783808,0.905521,0.726442,2:00:41
9,0.021299,1.347898,0.780969,0.904339,0.722911,2:00:40
10,0.018883,1.352197,0.779178,0.903595,0.721208,2:00:45
11,0.015780,1.369374,0.784787,0.906738,0.727421,2:00:45
12,0.013138,1.366662,0.786612,0.906501,0.728458,2:00:41
13,0.011919,1.363555,0.786646,0.906501,0.726014,2:00:41
14,0.011146,1.355173,0.787896,0.907143,0.729036,2:00:46
15,0.009582,1.361668,0.788268,0.908056,0.729004,2:00:41
16,0.008433,1.357816,0.788741,0.908529,0.728894,2:00:52
17,0.007610,1.379998,0.789552,0.906603,0.729486,2:00:43
18,0.007409,1.377320,0.791309,0.908630,0.731958,2:00:34
19,0.006532,1.363065,0.790633,0.908258,0.731580,2:00:34
20,0.006539,1.369452,0.790566,0.908698,0.731448,2:00:37
21,0.006275,1.373965,0.790768,0.909103,0.731687,2:00:37
22,0.005662,1.376385,0.791512,0.908529,0.731477,2:00:41
23,0.005361,1.377185,0.792120,0.909069,0.733001,2:00:50
24,0.004989,1.380077,0.792390,0.909948,0.731914,2:00:42
25,0.004913,1.374625,0.792762,0.909813,0.733542,2:00:43
26,0.004729,1.379964,0.792390,0.909441,0.732803,2:00:49
27,0.004499,1.376290,0.792526,0.909745,0.732339,2:00:43
28,0.004266,1.380311,0.793573,0.910117,0.733825,2:00:49
29,0.004321,1.376419,0.793235,0.909475,0.732548,2:00:50
