epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,5.255391,5.189337,0.002473,0.009890,0.000594,06:07
1,5.166057,5.103478,0.007967,0.020604,0.002220,06:06
2,5.089000,5.027348,0.016209,0.047253,0.007015,06:06
3,4.917079,4.649771,0.038187,0.110714,0.026206,06:06
4,4.509077,4.217811,0.096703,0.214835,0.059908,06:06
5,4.139193,3.924559,0.128022,0.262088,0.099527,06:06
6,3.710012,3.500503,0.176099,0.338736,0.141093,06:06
7,3.180382,3.076946,0.254121,0.467582,0.199321,06:06
8,2.557297,2.587971,0.356868,0.585989,0.302151,06:06
9,2.004621,2.491875,0.387363,0.613736,0.321436,06:06
10,1.565481,2.238430,0.456593,0.697253,0.381431,06:06
11,1.218901,2.175611,0.497527,0.718407,0.414779,06:06
12,0.945796,2.232422,0.537912,0.742857,0.442391,06:06
13,0.729744,2.224791,0.555220,0.775549,0.465574,06:06
14,0.524115,2.366000,0.578846,0.778846,0.478182,06:06
15,0.377455,2.396271,0.588187,0.784341,0.495815,06:06
16,0.263504,2.413929,0.607143,0.804945,0.509972,06:06
17,0.185927,2.343765,0.619231,0.812088,0.522022,06:06
18,0.133618,2.342884,0.626648,0.817033,0.525708,06:06
19,0.106244,2.411500,0.637637,0.815385,0.539543,06:06
20,0.083533,2.359305,0.641209,0.822253,0.539711,06:06
21,0.067756,2.385906,0.645330,0.826923,0.550359,06:06
22,0.058042,2.399133,0.644231,0.829396,0.550271,06:06
23,0.043252,2.466747,0.653297,0.826923,0.555490,06:06
24,0.040421,2.422570,0.650824,0.828297,0.561395,06:06
25,0.030013,2.458566,0.657143,0.830495,0.556647,06:06
26,0.028803,2.457527,0.662637,0.835989,0.559954,06:06
27,0.027296,2.447807,0.662637,0.833242,0.566089,06:06
28,0.026539,2.444218,0.657692,0.830769,0.561255,06:06
29,0.026777,2.448996,0.657143,0.828846,0.563809,06:06
