epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.012602,2.102861,0.470330,0.713736,0.378363,05:24
1,1.542663,1.829627,0.538187,0.767308,0.457362,05:22
2,0.980755,1.758059,0.595055,0.802473,0.495481,05:22
3,0.624858,1.743904,0.623077,0.820879,0.525541,05:22
4,0.351063,1.730902,0.653022,0.836264,0.564970,05:22
5,0.208054,1.796179,0.664286,0.845879,0.563344,05:22
6,0.112799,1.809049,0.674176,0.852747,0.580821,05:22
7,0.057365,1.732915,0.688462,0.860165,0.592459,05:22
8,0.034885,1.789958,0.694780,0.866758,0.591326,05:22
9,0.022967,1.752819,0.704396,0.859615,0.611145,05:22
10,0.017827,1.798512,0.702198,0.864011,0.604557,05:23
11,0.012549,1.788732,0.705220,0.866209,0.612365,05:22
12,0.011043,1.786404,0.703297,0.864286,0.606877,05:22
13,0.009231,1.786321,0.707692,0.864286,0.616501,05:22
14,0.008413,1.803686,0.704670,0.866209,0.612275,05:22
15,0.007745,1.819897,0.707692,0.866484,0.613775,05:22
16,0.007264,1.818940,0.709341,0.865110,0.616182,05:22
17,0.006519,1.810246,0.708242,0.868681,0.613772,05:23
18,0.005582,1.828147,0.709615,0.869231,0.613704,05:22
19,0.005381,1.829464,0.709341,0.867857,0.611407,05:23
20,0.005103,1.830723,0.707692,0.867857,0.608642,05:22
21,0.004840,1.826777,0.707692,0.867033,0.611597,05:22
22,0.004602,1.838418,0.709615,0.867857,0.615067,05:22
23,0.004196,1.833033,0.708791,0.867857,0.610263,05:22
24,0.003994,1.844302,0.711813,0.867857,0.618499,05:22
25,0.004186,1.842224,0.711264,0.867308,0.612093,05:22
26,0.004138,1.830479,0.708516,0.866758,0.611359,05:23
27,0.004247,1.845126,0.711538,0.868407,0.617451,05:23
28,0.003643,1.846807,0.709615,0.866758,0.612588,05:23
29,0.003594,1.847226,0.710989,0.867033,0.615856,05:22
