epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.016317,2.634354,0.342308,0.583791,0.266473,05:07
1,2.180723,1.945639,0.482692,0.730495,0.389831,04:56
2,1.527579,1.742144,0.535165,0.773901,0.455481,04:55
3,1.139747,1.660150,0.571703,0.795055,0.492858,04:56
4,0.858265,1.670998,0.588187,0.812088,0.498174,04:57
5,0.648067,1.686804,0.612637,0.823626,0.513338,04:55
6,0.474196,1.677889,0.619505,0.836264,0.528200,04:57
7,0.348445,1.781941,0.631044,0.831044,0.535986,04:56
8,0.252523,1.751776,0.648352,0.839835,0.557141,04:55
9,0.193958,1.824003,0.643956,0.842582,0.553021,04:55
10,0.155564,1.856779,0.656044,0.840659,0.555394,04:56
11,0.121208,1.892855,0.653022,0.845879,0.560322,04:56
12,0.097286,1.916352,0.659890,0.846154,0.562731,04:55
13,0.081037,1.961155,0.661813,0.848901,0.568718,04:56
14,0.069165,1.944267,0.655495,0.846978,0.559711,04:56
15,0.058355,1.967038,0.655769,0.851923,0.560256,04:56
16,0.049974,1.993832,0.659066,0.849176,0.567356,04:57
17,0.045542,1.983178,0.667033,0.851648,0.575273,04:57
18,0.040931,2.033473,0.669780,0.849725,0.574409,04:56
19,0.036087,2.017932,0.668956,0.851099,0.567772,04:56
20,0.031665,2.057683,0.665934,0.850000,0.567574,04:57
21,0.030238,2.062536,0.673901,0.849725,0.576452,04:57
22,0.026927,2.061920,0.670055,0.849725,0.572791,04:57
23,0.025120,2.041259,0.673077,0.850824,0.574071,04:56
24,0.023758,2.065923,0.668407,0.853022,0.568885,04:59
25,0.022847,2.088623,0.675275,0.849725,0.577599,04:56
26,0.021807,2.073730,0.669780,0.851374,0.574371,04:55
27,0.021239,2.075036,0.672253,0.854121,0.571952,04:55
28,0.020077,2.104934,0.670055,0.854121,0.561707,04:57
29,0.018958,2.127545,0.670604,0.851374,0.565898,04:56
