epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.990483,2.553396,0.345330,0.611813,0.260736,04:58
1,2.161167,1.910726,0.492582,0.739835,0.396041,04:55
2,1.526810,1.653675,0.553022,0.785165,0.475241,04:55
3,1.141639,1.615032,0.582418,0.800824,0.499242,04:54
4,0.875347,1.599840,0.599451,0.818407,0.514378,04:55
5,0.683023,1.612500,0.631319,0.835714,0.552238,04:56
6,0.522373,1.633241,0.642308,0.840659,0.553539,04:55
7,0.381024,1.657190,0.653022,0.843132,0.556812,04:56
8,0.281639,1.690774,0.659341,0.845055,0.566422,04:57
9,0.210574,1.747169,0.661264,0.855220,0.567700,04:57
10,0.160758,1.732567,0.681868,0.859066,0.590124,04:57
11,0.123710,1.802143,0.675275,0.853022,0.582258,04:56
12,0.095249,1.796880,0.681044,0.860440,0.586185,04:56
13,0.078705,1.800652,0.682692,0.854945,0.592463,04:56
14,0.064501,1.834742,0.681044,0.855769,0.588655,04:55
15,0.053336,1.828325,0.687637,0.860165,0.602550,04:57
16,0.047380,1.818198,0.683242,0.860165,0.593843,04:56
17,0.041447,1.855621,0.686813,0.858242,0.595147,04:55
18,0.036615,1.858942,0.695055,0.865385,0.609697,04:55
19,0.034456,1.883484,0.695604,0.861538,0.601368,04:56
20,0.029835,1.887700,0.692582,0.856319,0.596918,04:56
21,0.026659,1.910720,0.694231,0.859890,0.602309,04:56
22,0.023790,1.892479,0.693681,0.859890,0.598515,04:56
23,0.022970,1.905325,0.691484,0.864560,0.597360,04:56
24,0.020020,1.910361,0.694231,0.857418,0.600008,04:55
25,0.019140,1.936830,0.691484,0.860440,0.593565,04:55
26,0.018253,1.935209,0.693132,0.860440,0.600384,04:56
27,0.018844,1.954686,0.694780,0.861264,0.598312,04:57
28,0.016884,1.947993,0.690659,0.865934,0.598254,04:56
29,0.015819,2.003716,0.692582,0.863462,0.600780,04:55
