epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.061080,2.698733,0.330769,0.581319,0.250854,04:10
1,2.180975,1.970243,0.454670,0.719505,0.376558,04:09
2,1.498230,1.774520,0.539835,0.769780,0.458268,04:08
3,1.072262,1.707743,0.572802,0.792033,0.484388,04:09
4,0.769802,1.705603,0.590385,0.810440,0.508521,04:08
5,0.564413,1.719310,0.619780,0.831868,0.527714,04:08
6,0.432645,1.727281,0.626648,0.833242,0.539691,04:08
7,0.288163,1.774538,0.649451,0.839560,0.556792,04:09
8,0.190007,1.829694,0.664560,0.844505,0.572232,04:09
9,0.133660,1.936716,0.672253,0.851099,0.572106,04:09
10,0.093083,1.890339,0.682143,0.849725,0.588788,04:08
11,0.064631,1.951175,0.685714,0.855495,0.600939,04:08
12,0.049288,1.992951,0.691484,0.860165,0.602956,04:08
13,0.035415,1.985329,0.692582,0.857967,0.602682,04:07
14,0.032553,2.072849,0.686538,0.853846,0.591272,04:08
15,0.026121,2.015471,0.693956,0.860165,0.604953,04:07
16,0.023197,2.046556,0.691209,0.857418,0.597413,04:08
17,0.019528,2.092100,0.690659,0.854945,0.594667,04:10
18,0.016399,2.112606,0.694780,0.860989,0.601601,04:09
19,0.014119,2.128923,0.691758,0.856044,0.598606,04:08
20,0.012047,2.131810,0.694231,0.857143,0.596468,04:09
21,0.011427,2.155147,0.698626,0.856593,0.602997,04:09
22,0.010593,2.148221,0.694231,0.859890,0.598147,04:09
23,0.009263,2.174052,0.696703,0.857692,0.602477,04:08
24,0.009065,2.156994,0.691209,0.859890,0.591084,04:08
25,0.008265,2.165729,0.690934,0.857143,0.590133,04:09
26,0.008542,2.162699,0.694780,0.856044,0.601090,04:08
27,0.007503,2.180835,0.691758,0.857692,0.591930,04:08
28,0.006994,2.193639,0.691209,0.856319,0.592796,04:08
29,0.007342,2.194791,0.692582,0.858516,0.591009,04:08
