epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.887254,2.130969,0.447253,0.687637,0.364460,02:28
1,1.575432,1.876233,0.525549,0.751923,0.436366,02:24
2,1.037021,1.833592,0.556319,0.780769,0.471943,02:25
3,0.678050,1.794421,0.600549,0.810440,0.510781,02:24
4,0.422866,1.738771,0.619780,0.820055,0.543876,02:25
5,0.272942,1.847371,0.632692,0.830495,0.548984,02:25
6,0.172109,1.870802,0.653022,0.836264,0.553564,02:26
7,0.105834,1.879186,0.670604,0.846703,0.578078,02:24
8,0.070576,1.933508,0.669231,0.851374,0.584185,02:23
9,0.049244,1.943500,0.670330,0.848626,0.571364,02:23
10,0.037741,1.971479,0.670330,0.849451,0.573950,02:23
11,0.030248,1.973036,0.676099,0.854670,0.585982,02:23
12,0.026018,1.973430,0.675000,0.853846,0.581872,02:28
13,0.020378,1.964166,0.676923,0.853846,0.579544,02:26
14,0.019095,1.998379,0.679396,0.854945,0.583547,02:26
15,0.016155,2.008790,0.683516,0.854945,0.589378,02:26
16,0.014144,2.015438,0.682967,0.854396,0.585317,02:24
17,0.013139,2.021541,0.681319,0.853846,0.592832,02:24
18,0.011466,2.015153,0.682418,0.852747,0.585919,02:24
19,0.011261,2.032358,0.684615,0.852473,0.591217,02:26
20,0.010585,2.040170,0.679670,0.854121,0.585875,02:25
21,0.010501,2.040832,0.685165,0.852747,0.590239,02:27
22,0.009213,2.039214,0.680220,0.853846,0.583293,02:25
23,0.008820,2.044851,0.682143,0.852198,0.586173,02:24
24,0.008270,2.055161,0.683791,0.854396,0.591204,02:23
25,0.008107,2.060023,0.683242,0.853022,0.589391,02:25
26,0.007892,2.037926,0.681593,0.853297,0.587932,02:23
27,0.007443,2.049015,0.682692,0.853297,0.586244,02:25
28,0.006793,2.050586,0.684615,0.853846,0.588628,02:27
29,0.006572,2.059782,0.683242,0.852473,0.590272,02:23
