epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.902576,2.208612,0.435714,0.679396,0.356147,04:00
1,1.500055,2.006442,0.490934,0.722253,0.417679,03:58
2,0.894192,1.841778,0.591758,0.800275,0.499319,03:58
3,0.487609,1.736375,0.645879,0.829945,0.546290,03:58
4,0.256131,1.783912,0.647253,0.835989,0.555537,03:58
5,0.134587,1.785226,0.678022,0.850000,0.582035,03:58
6,0.059170,1.786090,0.694780,0.855220,0.606013,03:58
7,0.034886,1.797192,0.689835,0.848352,0.595343,03:58
8,0.023877,1.848826,0.700275,0.850275,0.608937,03:58
9,0.017628,1.831247,0.698077,0.850824,0.607414,03:58
10,0.013484,1.842169,0.707418,0.848901,0.612071,03:59
11,0.011780,1.858386,0.700549,0.850549,0.598756,03:58
12,0.008828,1.859785,0.706319,0.852473,0.612250,03:58
13,0.007373,1.883101,0.707143,0.851099,0.613141,03:58
14,0.006894,1.867744,0.706868,0.851648,0.613495,03:58
15,0.007547,1.893301,0.704670,0.852473,0.611029,03:58
16,0.006124,1.905844,0.706319,0.853022,0.608711,03:58
17,0.005099,1.894186,0.708242,0.849725,0.614464,03:59
18,0.005157,1.911561,0.706868,0.850549,0.611144,03:58
19,0.004646,1.892754,0.704945,0.854121,0.611572,03:58
20,0.004486,1.899155,0.704945,0.851923,0.613446,03:58
21,0.004135,1.909008,0.704670,0.851374,0.608799,03:59
22,0.004210,1.910514,0.706044,0.853297,0.611696,03:59
23,0.003954,1.904509,0.707967,0.854670,0.615303,03:58
24,0.003832,1.908177,0.707143,0.854945,0.614193,03:59
25,0.003848,1.904425,0.711538,0.853297,0.620431,03:58
26,0.003308,1.920691,0.708791,0.851648,0.620799,03:58
27,0.003532,1.913420,0.705495,0.852198,0.615045,03:58
28,0.003467,1.919900,0.705220,0.853297,0.611743,03:58
29,0.003318,1.922731,0.705495,0.853571,0.612461,03:58
