epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,4.297228,3.234012,0.228022,0.420879,0.169648,03:19
1,2.737407,2.520762,0.357967,0.602747,0.286632,03:17
2,2.038276,2.268115,0.418407,0.654945,0.342992,03:14
3,1.608052,2.054681,0.464011,0.703846,0.378771,03:19
4,1.285062,2.012335,0.496429,0.738736,0.417976,03:17
5,1.024812,2.143912,0.506868,0.733791,0.409139,03:17
6,0.836893,2.102031,0.527198,0.753846,0.446196,03:17
7,0.643991,2.087485,0.555495,0.772527,0.467071,03:16
8,0.511890,2.138144,0.561813,0.782143,0.473797,03:18
9,0.407088,2.173014,0.583791,0.787912,0.496581,03:17
10,0.327101,2.208839,0.595055,0.795879,0.495957,03:18
11,0.261103,2.318208,0.590110,0.798352,0.497349,03:19
12,0.214305,2.315983,0.600000,0.799725,0.507132,03:19
13,0.173822,2.359265,0.600000,0.803571,0.500631,03:20
14,0.149055,2.397231,0.603297,0.805769,0.508192,03:19
15,0.124999,2.417289,0.599451,0.803571,0.503460,03:21
16,0.109661,2.447866,0.601099,0.808516,0.507741,03:16
17,0.094796,2.462277,0.609341,0.807418,0.511698,03:15
18,0.084564,2.535157,0.616758,0.809615,0.520856,03:18
19,0.074390,2.491772,0.623901,0.806593,0.529847,03:15
20,0.068917,2.514890,0.615385,0.809615,0.521025,03:19
21,0.061707,2.577816,0.613187,0.807418,0.517288,03:18
22,0.056060,2.575358,0.614286,0.808516,0.521484,03:19
23,0.051379,2.569542,0.608516,0.804945,0.514764,03:21
24,0.049168,2.614998,0.617857,0.809066,0.518727,03:17
25,0.045411,2.586367,0.609341,0.805769,0.516175,03:17
26,0.040811,2.614370,0.615934,0.806868,0.517176,03:16
27,0.040567,2.672394,0.615110,0.805495,0.515695,03:17
28,0.037881,2.660780,0.615659,0.808242,0.520031,03:17
29,0.034522,2.643245,0.616209,0.814011,0.510916,03:17
