epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.666787,2.465827,0.425549,0.651648,0.237585,02:18
1,2.107237,1.960979,0.514286,0.724725,0.357129,02:10
2,1.630151,1.793218,0.544505,0.767033,0.409704,02:12
3,1.342257,1.682009,0.578022,0.778297,0.455690,02:13
4,1.102467,1.662810,0.584341,0.791758,0.474853,02:12
5,0.916867,1.682491,0.589286,0.785440,0.472374,02:12
6,0.751978,1.727687,0.588736,0.789011,0.479489,02:10
7,0.578180,1.784841,0.589835,0.791484,0.479592,02:11
8,0.461202,1.782408,0.597253,0.803571,0.483079,02:10
9,0.339738,1.800313,0.604945,0.806593,0.501141,02:11
10,0.273227,1.838481,0.599725,0.803297,0.497535,02:13
11,0.206283,1.838877,0.609341,0.815110,0.498476,02:11
12,0.160313,1.885315,0.609066,0.815110,0.503675,02:12
13,0.125919,1.978184,0.611538,0.809066,0.492324,02:13
14,0.107097,1.932450,0.613462,0.821154,0.500260,02:12
15,0.088382,1.955357,0.620330,0.816758,0.510811,02:11
16,0.073022,1.995082,0.623352,0.817033,0.509292,02:14
17,0.061729,2.002655,0.623901,0.814835,0.508346,02:12
18,0.055197,2.001722,0.622802,0.814835,0.511854,02:11
19,0.048346,2.025706,0.628297,0.813187,0.518202,02:11
20,0.045336,2.075141,0.617033,0.811813,0.510437,02:12
21,0.039940,2.056437,0.624725,0.817033,0.511204,02:14
22,0.035320,2.041329,0.628297,0.815385,0.518263,02:13
23,0.033639,2.056977,0.632967,0.815934,0.525110,02:14
24,0.030747,2.066781,0.629396,0.818132,0.517687,02:11
25,0.030395,2.087604,0.623901,0.815110,0.513176,02:12
26,0.027060,2.078521,0.626374,0.818956,0.517316,02:11
27,0.025388,2.075145,0.627198,0.818681,0.514332,02:11
28,0.023923,2.086241,0.625000,0.814835,0.513466,02:12
29,0.023927,2.100893,0.626099,0.820055,0.514988,02:13
