epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,3.281876,2.143220,0.441209,0.643681,0.213756,02:13
1,1.813378,1.675089,0.526923,0.731319,0.336321,02:11
2,1.376210,1.524095,0.545879,0.773352,0.387754,02:12
3,1.120211,1.448344,0.579945,0.777747,0.430480,02:12
4,0.918677,1.397944,0.594231,0.797802,0.458224,02:10
5,0.756288,1.411215,0.593956,0.790110,0.464938,02:11
6,0.620583,1.426197,0.595055,0.793956,0.462544,02:11
7,0.479777,1.451562,0.597253,0.794505,0.474596,02:11
8,0.382309,1.478042,0.600549,0.801374,0.472205,02:12
9,0.286741,1.494595,0.604945,0.802747,0.481857,02:13
10,0.228561,1.498312,0.611538,0.803022,0.496090,02:11
11,0.173222,1.525393,0.601923,0.804945,0.483193,02:11
12,0.136558,1.517868,0.613736,0.810989,0.493185,02:19
13,0.105971,1.583014,0.608242,0.803846,0.480443,02:15
14,0.089162,1.554815,0.618407,0.810989,0.492960,02:15
15,0.072007,1.559916,0.617582,0.812088,0.493735,02:11
16,0.059906,1.576283,0.620879,0.809066,0.504079,02:12
