epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.753039,1.539430,0.454945,0.670879,0.249813,02:14
1,1.255132,1.173501,0.519780,0.737912,0.349312,02:12
2,0.875227,1.034826,0.550549,0.764286,0.403644,02:11
3,0.661334,0.984813,0.571978,0.782418,0.435040,02:13
4,0.499807,0.954455,0.576099,0.787912,0.446133,02:12
5,0.377737,0.961562,0.574176,0.790110,0.455446,02:11
6,0.287200,0.966048,0.579121,0.792582,0.452514,02:12
7,0.196946,0.965667,0.590110,0.795055,0.469124,02:12
8,0.143689,0.954888,0.592308,0.806319,0.474394,02:13
9,0.100394,0.967148,0.592582,0.804945,0.476910,02:12
10,0.078039,0.972985,0.594505,0.804121,0.474726,02:14
11,0.059581,0.950913,0.599176,0.812912,0.489167,02:12
12,0.047392,0.953566,0.610440,0.813187,0.496068,02:13
13,0.039433,0.975538,0.599725,0.807692,0.482883,02:13
14,0.033132,0.955165,0.603297,0.811264,0.486114,02:13
15,0.027793,0.958662,0.610165,0.814286,0.492494,02:14
16,0.022895,0.958278,0.608791,0.818681,0.492696,02:21
17,0.020791,0.960615,0.608516,0.813736,0.497262,02:18
18,0.017900,0.956182,0.612912,0.823077,0.499051,02:19
19,0.016672,0.956936,0.614560,0.818132,0.502232,02:15
20,0.015685,0.957406,0.609066,0.818132,0.492394,02:13
21,0.013443,0.951563,0.616484,0.822527,0.503764,02:12
22,0.012192,0.960502,0.614011,0.818407,0.500010,02:12
23,0.012154,0.962486,0.616484,0.817857,0.505209,02:11
24,0.011093,0.954845,0.615659,0.821703,0.503277,02:13
25,0.010896,0.963690,0.619780,0.815659,0.505344,02:12
26,0.009901,0.960574,0.616758,0.821429,0.500716,02:11
27,0.009478,0.955081,0.612912,0.821429,0.498153,02:14
28,0.008641,0.952246,0.623077,0.818407,0.510573,02:12
29,0.008740,0.956109,0.616758,0.818681,0.503184,02:11
