epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,2.226443,1.590985,0.563462,0.776374,0.398333,02:29
1,1.238262,1.449288,0.603846,0.802198,0.468128,02:23
2,0.898166,1.328042,0.636264,0.830769,0.508933,02:24
3,0.647695,1.316322,0.651099,0.841484,0.525060,02:25
4,0.444354,1.334893,0.656044,0.837363,0.533084,02:24
5,0.286513,1.401504,0.653846,0.830495,0.547431,02:24
6,0.165638,1.401688,0.654670,0.840934,0.543522,02:23
7,0.103679,1.380028,0.671978,0.844231,0.570284,02:23
8,0.059785,1.375184,0.673626,0.846978,0.556081,02:23
9,0.040318,1.390583,0.677198,0.847527,0.565435,02:24
10,0.030811,1.388500,0.681044,0.850549,0.561834,02:22
11,0.023861,1.382696,0.683791,0.853022,0.568662,02:25
12,0.020397,1.392116,0.679945,0.855220,0.561459,02:23
13,0.015719,1.398032,0.683516,0.855220,0.560860,02:23
14,0.015252,1.410765,0.682418,0.855220,0.565111,02:23
15,0.012779,1.418031,0.685714,0.855769,0.577617,02:24
16,0.010898,1.415459,0.685989,0.857692,0.576571,02:24
17,0.010215,1.412777,0.689011,0.859341,0.575513,02:26
18,0.009590,1.416849,0.685989,0.859615,0.570772,02:25
19,0.008775,1.430531,0.687363,0.856593,0.575386,02:23
20,0.008806,1.428357,0.684341,0.857967,0.573344,02:26
21,0.007767,1.428322,0.685440,0.859615,0.568522,02:34
22,0.007144,1.440277,0.687088,0.855220,0.573515,02:27
23,0.006734,1.441995,0.686264,0.856044,0.572338,02:27
24,0.006762,1.454431,0.684890,0.854945,0.567690,02:25
25,0.006551,1.444334,0.686813,0.855220,0.572783,02:25
26,0.005975,1.443114,0.690110,0.856593,0.579962,02:25
27,0.005778,1.448356,0.688736,0.855220,0.574680,02:26
28,0.005666,1.448650,0.689011,0.858242,0.574227,02:27
29,0.005447,1.447331,0.691758,0.856044,0.575648,02:31
