epoch,train_loss,valid_loss,accuracy,top_3,f1_score,time
0,1.915579,1.237833,0.557967,0.783791,0.397853,02:29
1,0.939470,1.106381,0.596978,0.806044,0.463391,02:25
2,0.619611,1.028207,0.628846,0.829945,0.510848,02:27
3,0.406186,1.025012,0.632967,0.832418,0.510652,02:23
4,0.250244,1.026970,0.640934,0.835714,0.523785,02:26
5,0.144472,1.029730,0.654945,0.838187,0.538703,02:26
6,0.076079,1.019949,0.654670,0.844231,0.543114,02:26
7,0.047324,1.005507,0.659341,0.846978,0.543847,02:25
8,0.028887,1.000944,0.659341,0.853022,0.543534,02:25
9,0.020221,1.008614,0.661538,0.852473,0.551623,02:24
10,0.015601,1.014446,0.667033,0.849176,0.553921,02:23
11,0.012392,0.997710,0.673901,0.853297,0.559463,02:25
12,0.009540,0.996662,0.669505,0.851374,0.552168,02:24
13,0.007255,0.997974,0.672802,0.855220,0.551557,02:23
14,0.007275,0.997390,0.675275,0.853571,0.561652,02:22
15,0.005772,1.005779,0.673901,0.855769,0.558774,02:24
16,0.005108,0.996008,0.676923,0.856319,0.565688,02:25
17,0.004650,0.993013,0.674725,0.857143,0.563818,02:24
18,0.004621,0.994468,0.679945,0.855769,0.568987,02:24
19,0.003892,0.994345,0.676648,0.857692,0.563674,02:25
20,0.003985,1.000734,0.679396,0.856593,0.572640,02:25
21,0.003562,0.992088,0.682967,0.859066,0.573388,02:25
22,0.003286,1.001860,0.679945,0.856319,0.570921,02:22
23,0.002961,1.006485,0.678571,0.857143,0.567247,02:28
24,0.003118,1.001835,0.681319,0.858516,0.568476,02:28
25,0.002414,1.004935,0.681044,0.863736,0.569910,02:25
26,0.002463,1.006908,0.682692,0.859890,0.569500,02:24
27,0.002153,0.997527,0.681319,0.858242,0.570746,02:24
28,0.002029,1.001018,0.678022,0.862088,0.566636,02:24
29,0.001971,0.998480,0.681868,0.861813,0.573523,02:23
