species,genus,family,mivs
Acanthophis antarcticus,Acanthophis,Elapidae,1
Acanthophis cryptamydros,Acanthophis,Elapidae,1
Acanthophis hawkei,Acanthophis,Elapidae,1
Acanthophis laevis,Acanthophis,Elapidae,1
Acanthophis praelongus,Acanthophis,Elapidae,1
Acanthophis pyrrhus,Acanthophis,Elapidae,1
Acanthophis rugosus,Acanthophis,Elapidae,1
Acanthophis wellsi,Acanthophis,Elapidae,1
Achalinus ater,Achalinus,Xenodermidae,0
Achalinus emilyae,Achalinus,Xenodermidae,0
Achalinus formosanus,Achalinus,Xenodermidae,0
Achalinus hainanus,Achalinus,Xenodermidae,0
Achalinus jinggangensis,Achalinus,Xenodermidae,0
Achalinus juliani,Achalinus,Xenodermidae,0
Achalinus meiguensis,Achalinus,Xenodermidae,0
Achalinus niger,Achalinus,Xenodermidae,0
Achalinus pingbianensis,Achalinus,Xenodermidae,0
Achalinus rufescens,Achalinus,Xenodermidae,0
Achalinus spinalis,Achalinus,Xenodermidae,0
Achalinus timi,Achalinus,Xenodermidae,0
Achalinus tranganensis,Achalinus,Xenodermidae,0
Achalinus werneri,Achalinus,Xenodermidae,0
Achalinus yunkaiensis,Achalinus,Xenodermidae,0
Achalinus zugorum,Achalinus,Xenodermidae,0
Acrantophis dumerili,Acrantophis,Boidae,0
Acrantophis madagascariensis,Acrantophis,Boidae,0
Acrochordus arafurae,Acrochordus,Acrochordidae,0
Acrochordus granulatus,Acrochordus,Acrochordidae,0
Acrochordus javanicus,Acrochordus,Acrochordidae,0
Acutotyphlops banaorum,Acutotyphlops,Typhlopidae,0
Acutotyphlops infralabialis,Acutotyphlops,Typhlopidae,0
Acutotyphlops kunuaensis,Acutotyphlops,Typhlopidae,0
Acutotyphlops solomonis,Acutotyphlops,Typhlopidae,0
Acutotyphlops subocularis,Acutotyphlops,Typhlopidae,0
Adelophis copei,Adelophis,Colubridae,0
Adelophis foxi,Adelophis,Colubridae,0
Adelphicos daryi,Adelphicos,Colubridae,0
Adelphicos ibarrorum,Adelphicos,Colubridae,0
Adelphicos latifasciatum,Adelphicos,Colubridae,0
Adelphicos newmanorum,Adelphicos,Colubridae,0
Adelphicos nigrilatum,Adelphicos,Colubridae,0
Adelphicos quadrivirgatum,Adelphicos,Colubridae,0
Adelphicos sargii,Adelphicos,Colubridae,0
Adelphicos veraepacis,Adelphicos,Colubridae,0
Adelphicos visoninum,Adelphicos,Colubridae,0
Aeluroglena cucullata,Aeluroglena,Colubridae,0
Afronatrix anoscopus,Afronatrix,Colubridae,0
Afrotyphlops angolensis,Afrotyphlops,Typhlopidae,0
Afrotyphlops anomalus,Afrotyphlops,Typhlopidae,0
Afrotyphlops bibronii,Afrotyphlops,Typhlopidae,0
Afrotyphlops blanfordii,Afrotyphlops,Typhlopidae,0
Afrotyphlops brevis,Afrotyphlops,Typhlopidae,0
Afrotyphlops calabresii,Afrotyphlops,Typhlopidae,0
Afrotyphlops chirioi,Afrotyphlops,Typhlopidae,0
Afrotyphlops congestus,Afrotyphlops,Typhlopidae,0
Afrotyphlops cuneirostris,Afrotyphlops,Typhlopidae,0
Afrotyphlops elegans,Afrotyphlops,Typhlopidae,0
Afrotyphlops fornasinii,Afrotyphlops,Typhlopidae,0
Afrotyphlops gierrai,Afrotyphlops,Typhlopidae,0
Afrotyphlops kaimosae,Afrotyphlops,Typhlopidae,0
Afrotyphlops liberiensis,Afrotyphlops,Typhlopidae,0
Afrotyphlops lineolatus,Afrotyphlops,Typhlopidae,0
Afrotyphlops mucruso,Afrotyphlops,Typhlopidae,0
Afrotyphlops nanus,Afrotyphlops,Typhlopidae,0
Afrotyphlops nigrocandidus,Afrotyphlops,Typhlopidae,0
Afrotyphlops obtusus,Afrotyphlops,Typhlopidae,0
Afrotyphlops platyrhynchus,Afrotyphlops,Typhlopidae,0
Afrotyphlops punctatus,Afrotyphlops,Typhlopidae,0
Afrotyphlops rondoensis,Afrotyphlops,Typhlopidae,0
Afrotyphlops rouxestevae,Afrotyphlops,Typhlopidae,0
Afrotyphlops schlegelii,Afrotyphlops,Typhlopidae,0
Afrotyphlops schmidti,Afrotyphlops,Typhlopidae,0
Afrotyphlops steinhausi,Afrotyphlops,Typhlopidae,0
Afrotyphlops tanganicanus,Afrotyphlops,Typhlopidae,0
Afrotyphlops usambaricus,Afrotyphlops,Typhlopidae,0
Agkistrodon bilineatus,Agkistrodon,Viperidae,1
Agkistrodon conanti,Agkistrodon,Viperidae,1
Agkistrodon contortrix,Agkistrodon,Viperidae,1
Agkistrodon howardgloydi,Agkistrodon,Viperidae,1
Agkistrodon laticinctus,Agkistrodon,Viperidae,1
Agkistrodon piscivorus,Agkistrodon,Viperidae,1
Agkistrodon russeolus,Agkistrodon,Viperidae,1
Agkistrodon taylori,Agkistrodon,Viperidae,1
Ahaetulla anomala,Ahaetulla,Colubridae,0
Ahaetulla borealis,Ahaetulla,Colubridae,0
Ahaetulla dispar,Ahaetulla,Colubridae,0
Ahaetulla farnsworthi,Ahaetulla,Colubridae,0
Ahaetulla fasciolata,Ahaetulla,Colubridae,0
Ahaetulla fronticincta,Ahaetulla,Colubridae,0
Ahaetulla isabellina,Ahaetulla,Colubridae,0
Ahaetulla laudankia,Ahaetulla,Colubridae,0
Ahaetulla malabarica,Ahaetulla,Colubridae,0
Ahaetulla mycterizans,Ahaetulla,Colubridae,0
Ahaetulla nasuta,Ahaetulla,Colubridae,0
Ahaetulla oxyrhyncha,Ahaetulla,Colubridae,0
Ahaetulla perroteti,Ahaetulla,Colubridae,0
Ahaetulla prasina,Ahaetulla,Colubridae,0
Ahaetulla pulverulenta,Ahaetulla,Colubridae,0
Ahaetulla sahyadrensis,Ahaetulla,Colubridae,0
Ahaetulla travancorica,Ahaetulla,Colubridae,0
Aipysurus apraefrontalis,Aipysurus,Elapidae,0
Aipysurus duboisii,Aipysurus,Elapidae,0
Aipysurus eydouxii,Aipysurus,Elapidae,0
Aipysurus foliosquama,Aipysurus,Elapidae,0
Aipysurus fuscus,Aipysurus,Elapidae,0
Aipysurus laevis,Aipysurus,Elapidae,0
Aipysurus mosaicus,Aipysurus,Elapidae,0
Aipysurus pooleorum,Aipysurus,Elapidae,0
Aipysurus tenuis,Aipysurus,Elapidae,0
Alluaudina bellyi,Alluaudina,Lamprophiidae,0
Alluaudina mocquardi,Alluaudina,Lamprophiidae,0
Alsophis antiguae,Alsophis,Colubridae,0
Alsophis antillensis,Alsophis,Colubridae,0
Alsophis danforthi,Alsophis,Colubridae,0
Alsophis manselli,Alsophis,Colubridae,0
Alsophis rijgersmaei,Alsophis,Colubridae,0
Alsophis rufiventris,Alsophis,Colubridae,0
Alsophis sajdaki,Alsophis,Colubridae,0
Alsophis sanctonum,Alsophis,Colubridae,0
Alsophis sibonius,Alsophis,Colubridae,0
Amastridium sapperi,Amastridium,Colubridae,0
Amastridium veliferum,Amastridium,Colubridae,0
Amblyodipsas concolor,Amblyodipsas,Lamprophiidae,0
Amblyodipsas dimidiata,Amblyodipsas,Lamprophiidae,0
Amblyodipsas katangensis,Amblyodipsas,Lamprophiidae,0
Amblyodipsas microphthalma,Amblyodipsas,Lamprophiidae,0
Amblyodipsas polylepis,Amblyodipsas,Lamprophiidae,0
Amblyodipsas rodhaini,Amblyodipsas,Lamprophiidae,0
Amblyodipsas teitana,Amblyodipsas,Lamprophiidae,0
Amblyodipsas unicolor,Amblyodipsas,Lamprophiidae,0
Amblyodipsas ventrimaculata,Amblyodipsas,Lamprophiidae,0
Amerotyphlops amoipira,Amerotyphlops,Typhlopidae,0
Amerotyphlops arenensis,Amerotyphlops,Typhlopidae,0
Amerotyphlops brongersmianus,Amerotyphlops,Typhlopidae,0
Amerotyphlops costaricensis,Amerotyphlops,Typhlopidae,0
Amerotyphlops lehneri,Amerotyphlops,Typhlopidae,0
Amerotyphlops microstomus,Amerotyphlops,Typhlopidae,0
Amerotyphlops minuisquamus,Amerotyphlops,Typhlopidae,0
Amerotyphlops paucisquamus,Amerotyphlops,Typhlopidae,0
Amerotyphlops reticulatus,Amerotyphlops,Typhlopidae,0
Amerotyphlops stadelmani,Amerotyphlops,Typhlopidae,0
