epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,2.118026,0.929621,0.773630,0.886910,0.501507,0.535973,1:09:37
1,1.233922,0.613801,0.810653,0.949441,0.654244,0.669817,1:09:27
2,0.986562,0.474636,0.874290,0.956495,0.727200,0.734521,1:09:33
3,0.837294,0.446705,0.876044,0.963396,0.739972,0.725829,1:09:30
4,0.724291,0.461270,0.879780,0.963282,0.756970,0.752739,1:09:27
5,0.639408,0.444825,0.881229,0.971709,0.765309,0.739825,1:09:31
6,0.566773,0.403121,0.897091,0.966447,0.782970,0.767323,1:09:40
7,0.501408,0.403476,0.889961,0.969154,0.785712,0.764614,1:09:31
8,0.447289,0.438488,0.904221,0.967438,0.787422,0.763671,1:09:37
9,0.365960,0.389198,0.921531,0.972814,0.805691,0.808819,1:09:30
10,0.321709,0.399637,0.895871,0.975750,0.807177,0.797316,1:09:31
11,0.287171,0.438993,0.909025,0.976627,0.803904,0.793395,1:09:27
12,0.234035,0.434354,0.900255,0.974492,0.810076,0.770956,1:09:29
13,0.205174,0.400487,0.913105,0.973729,0.802503,0.796686,1:09:32
14,0.164133,0.387540,0.926640,0.975178,0.821492,0.818743,1:09:28
15,0.144426,0.415063,0.925535,0.976322,0.820413,0.805885,1:09:31
16,0.131126,0.455964,0.913982,0.975865,0.815432,0.797070,1:09:29
17,0.106251,0.463595,0.919053,0.973691,0.821527,0.799199,1:09:31
18,0.095685,0.445963,0.917490,0.972319,0.817600,0.793329,1:09:31
19,0.079352,0.494145,0.909254,0.977618,0.812538,0.787678,1:09:26
20,0.069651,0.464427,0.924734,0.978419,0.819497,0.797317,1:09:32
21,0.059187,0.506584,0.928509,0.977237,0.827158,0.822424,1:09:16
22,0.053434,0.500797,0.909330,0.972395,0.818136,0.765729,1:09:34
23,0.046281,0.434529,0.928890,0.975178,0.828131,0.809254,1:09:29
24,0.042042,0.457983,0.931902,0.975178,0.832970,0.814791,1:09:30
25,0.036483,0.470494,0.928661,0.975407,0.826455,0.818452,1:09:30
26,0.034169,0.444374,0.933122,0.975712,0.835494,0.814884,1:09:33
27,0.029510,0.446813,0.933389,0.977047,0.838048,0.823890,1:09:41
28,0.027753,0.466661,0.932932,0.976780,0.833885,0.822982,1:09:26
29,0.025002,0.465797,0.934914,0.977199,0.840267,0.829151,1:09:37
