epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,1.674851,0.839855,0.789759,0.909521,0.532019,0.545420,1:02:21
1,1.027805,0.676933,0.826362,0.945552,0.653506,0.658762,1:02:20
2,0.817933,0.589251,0.841156,0.951920,0.678027,0.645475,1:02:18
3,0.679940,0.513998,0.870439,0.959012,0.741090,0.726363,1:02:21
4,0.576865,0.487806,0.867198,0.963358,0.744739,0.750152,1:02:26
5,0.492037,0.468447,0.880009,0.962825,0.754357,0.763314,1:02:19
6,0.419945,0.514333,0.854806,0.960804,0.758726,0.713833,1:02:22
7,0.360026,0.573793,0.869219,0.957982,0.764147,0.737166,1:02:18
8,0.273156,0.523895,0.884470,0.959546,0.758602,0.764209,1:02:13
9,0.228190,0.529058,0.874786,0.964884,0.775814,0.762823,1:02:14
10,0.169368,0.568239,0.887368,0.966828,0.786421,0.771277,1:02:12
11,0.139446,0.592782,0.875281,0.963435,0.782354,0.765187,1:02:06
12,0.103248,0.510314,0.897739,0.965608,0.794775,0.763619,1:02:07
13,0.083964,0.537585,0.893164,0.967553,0.796298,0.776677,1:02:10
14,0.061393,0.468824,0.908796,0.965684,0.798713,0.786775,1:02:14
15,0.049358,0.537680,0.886796,0.966485,0.799016,0.779035,1:02:05
16,0.036808,0.509249,0.916079,0.966180,0.801788,0.789698,1:02:11
17,0.030948,0.488595,0.913562,0.965150,0.799978,0.796283,1:02:07
18,0.023650,0.553770,0.896252,0.966066,0.803142,0.804466,1:02:06
19,0.019527,0.517031,0.899112,0.966599,0.798474,0.782350,1:02:10
20,0.015411,0.500291,0.913448,0.966790,0.804130,0.778169,1:02:02
21,0.013406,0.506583,0.898311,0.968315,0.799818,0.781632,1:01:59
22,0.010498,0.500443,0.913791,0.968468,0.805809,0.786789,1:01:56
23,0.009206,0.506166,0.915011,0.966447,0.805489,0.785396,1:01:56
24,0.007920,0.509399,0.913295,0.968239,0.803516,0.786541,1:01:52
25,0.007012,0.544101,0.918214,0.967858,0.810759,0.793742,1:01:53
26,0.006403,0.470606,0.920006,0.968887,0.812751,0.791677,1:01:54
27,0.005708,0.484049,0.915621,0.969268,0.807551,0.787661,1:01:53
28,0.005179,0.486793,0.917070,0.967743,0.810399,0.795922,1:01:56
29,0.004700,0.505583,0.913791,0.967972,0.804345,0.786028,1:01:53
