epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,1.864499,0.867559,0.784383,0.886949,0.517013,0.543802,1:01:28
1,1.180594,0.714878,0.811721,0.937622,0.656179,0.627640,1:01:22
2,0.944088,0.557292,0.863576,0.950890,0.694929,0.698457,1:01:23
3,0.794135,0.532847,0.875167,0.956571,0.726646,0.735882,1:01:21
4,0.677017,0.593160,0.862203,0.956419,0.729410,0.733750,1:01:21
5,0.584680,0.561756,0.863233,0.956000,0.728118,0.704889,1:01:18
6,0.459379,0.550634,0.878446,0.961833,0.748425,0.762475,1:01:21
7,0.389505,0.523537,0.882373,0.965189,0.766599,0.738292,1:01:19
8,0.336808,0.556686,0.873565,0.962596,0.776611,0.762449,1:01:19
9,0.290500,0.644557,0.864529,0.962825,0.758134,0.741731,1:01:19
10,0.214907,0.569442,0.882526,0.957143,0.782671,0.745831,1:01:20
11,0.177382,0.625408,0.892325,0.962367,0.775807,0.774870,1:01:26
12,0.129035,0.532064,0.890075,0.966104,0.788359,0.781772,1:01:06
13,0.104960,0.536465,0.907957,0.967362,0.795036,0.796125,1:01:05
14,0.076650,0.544497,0.916269,0.965532,0.797737,0.790147,1:01:11
15,0.061992,0.572785,0.901209,0.968124,0.791378,0.779099,1:01:14
16,0.045045,0.522975,0.906585,0.964617,0.792084,0.771829,1:01:22
17,0.035816,0.547844,0.916880,0.969154,0.802568,0.789241,1:01:21
18,0.031966,0.573955,0.918328,0.966981,0.801834,0.787041,1:01:26
19,0.023199,0.569400,0.918481,0.968925,0.804141,0.783412,1:01:29
20,0.019320,0.602727,0.906356,0.970870,0.799627,0.786480,1:01:29
21,0.014554,0.556000,0.908072,0.968048,0.800165,0.798708,1:01:25
22,0.012409,0.561013,0.918443,0.970603,0.802027,0.787961,1:01:30
23,0.009565,0.574961,0.917985,0.970183,0.802511,0.789661,1:01:28
24,0.007648,0.582034,0.920616,0.969192,0.809930,0.791433,1:00:59
25,0.006641,0.564616,0.920120,0.969306,0.808559,0.794422,1:01:07
26,0.005770,0.579903,0.923361,0.971365,0.808295,0.804898,1:01:11
27,0.005060,0.575477,0.920845,0.971022,0.809329,0.794198,1:01:05
28,0.004469,0.565795,0.919282,0.970946,0.805218,0.786853,1:01:00
29,0.003792,0.566970,0.922942,0.969726,0.808165,0.800116,1:01:01
