epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,2.078612,1.281122,0.709574,0.822130,0.303621,0.390468,56:53
1,1.189445,0.900564,0.776795,0.894002,0.481422,0.537309,56:37
2,0.939658,0.680959,0.822854,0.933046,0.578579,0.564739,56:36
3,0.792868,0.630492,0.852595,0.941053,0.643664,0.658454,56:42
4,0.684230,0.596821,0.855721,0.938155,0.677507,0.698522,56:42
5,0.598790,0.477991,0.879056,0.957258,0.701149,0.697835,56:43
6,0.527907,0.479567,0.880429,0.960194,0.709523,0.704454,56:39
7,0.466894,0.498826,0.869600,0.961109,0.729459,0.711352,56:41
8,0.388887,0.462283,0.884585,0.963740,0.742420,0.739766,56:31
9,0.344431,0.483457,0.864643,0.963396,0.739053,0.732748,56:40
10,0.301715,0.523044,0.873909,0.962901,0.748968,0.711769,56:36
11,0.247944,0.452630,0.897396,0.963625,0.752069,0.752844,56:32
12,0.214848,0.447949,0.900370,0.966523,0.769334,0.762837,56:46
13,0.191014,0.487808,0.893507,0.963778,0.774456,0.761024,56:36
14,0.171248,0.520024,0.878446,0.963091,0.753863,0.731292,56:49
15,0.136907,0.492310,0.889084,0.961414,0.752676,0.756868,56:31
16,0.119018,0.494010,0.892859,0.968239,0.773449,0.757318,56:39
17,0.096648,0.483775,0.892020,0.965455,0.770440,0.756321,56:52
18,0.084046,0.530434,0.884890,0.962901,0.762924,0.747103,56:53
19,0.068715,0.526554,0.888131,0.965951,0.761951,0.755219,56:49
20,0.059096,0.482886,0.904335,0.969154,0.786441,0.773429,56:47
21,0.048630,0.521566,0.880924,0.967629,0.779046,0.754787,56:58
22,0.044731,0.451270,0.909254,0.965112,0.786975,0.766194,56:49
23,0.037753,0.498441,0.898349,0.964121,0.786039,0.764128,56:52
24,0.033547,0.500703,0.903229,0.968735,0.779985,0.772821,56:47
25,0.028866,0.525452,0.893964,0.972280,0.782491,0.768028,56:55
26,0.026285,0.522361,0.896519,0.966637,0.782812,0.763704,57:01
27,0.023513,0.487847,0.897815,0.970069,0.789395,0.759831,56:48
28,0.021461,0.490431,0.914249,0.968963,0.802092,0.790745,56:49
29,0.018918,0.485408,0.904564,0.972242,0.798628,0.771504,56:45
