epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,2.003602,1.153133,0.734205,0.859763,0.334721,0.402197,56:53
1,1.140826,0.756702,0.811835,0.915088,0.508160,0.557654,56:55
2,0.906867,0.582886,0.843901,0.940291,0.600662,0.630763,56:46
3,0.766282,0.541536,0.853128,0.948755,0.647118,0.672841,56:25
4,0.663789,0.497065,0.858200,0.958173,0.681692,0.659844,56:39
5,0.585772,0.470058,0.877493,0.959050,0.710299,0.716971,56:40
6,0.517950,0.456958,0.877493,0.966218,0.730978,0.730468,56:43
7,0.461290,0.491799,0.875586,0.958402,0.726265,0.718186,56:48
8,0.414126,0.460879,0.884585,0.963663,0.729727,0.723990,56:58
9,0.346708,0.456036,0.883250,0.963854,0.747672,0.743940,56:38
10,0.305534,0.457207,0.889465,0.965837,0.761628,0.752750,56:51
11,0.272449,0.471554,0.885423,0.965989,0.760330,0.750125,56:47
12,0.224493,0.439974,0.884127,0.967476,0.772749,0.781304,56:51
13,0.196372,0.474065,0.899073,0.967133,0.780210,0.770165,56:44
14,0.175774,0.525070,0.894651,0.967705,0.770068,0.758320,56:42
15,0.144444,0.512169,0.895947,0.968735,0.777615,0.763931,56:52
16,0.125273,0.504023,0.898883,0.970374,0.778144,0.747550,56:47
17,0.100452,0.511553,0.899569,0.973882,0.791085,0.768620,56:50
18,0.087860,0.531607,0.903458,0.970717,0.790762,0.776925,56:35
19,0.073142,0.450642,0.902505,0.969078,0.787769,0.759297,56:37
20,0.062250,0.477634,0.906509,0.969878,0.787896,0.778765,56:38
21,0.053843,0.506846,0.901094,0.971137,0.798835,0.772972,56:43
22,0.048345,0.464629,0.910093,0.971251,0.805088,0.773758,56:38
23,0.039916,0.496619,0.912952,0.973119,0.802588,0.789748,56:30
24,0.036432,0.486534,0.911389,0.974073,0.803093,0.776480,56:44
25,0.031592,0.462434,0.912457,0.976284,0.801543,0.789195,56:43
26,0.029075,0.514871,0.908415,0.971137,0.795983,0.789826,56:47
27,0.025320,0.467635,0.911847,0.972433,0.808221,0.772336,56:50
28,0.022768,0.501121,0.912152,0.973577,0.803339,0.789949,56:50
29,0.020092,0.480226,0.917337,0.974454,0.809946,0.783298,56:44
