epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,1.608595,0.854987,0.793305,0.908758,0.505612,0.544978,1:02:11
1,1.007251,0.639568,0.829908,0.942235,0.656780,0.619634,1:02:11
2,0.802993,0.507125,0.859915,0.957677,0.698423,0.695241,1:02:08
3,0.670875,0.487137,0.887978,0.963091,0.752140,0.742427,1:02:09
4,0.569532,0.445814,0.888702,0.964426,0.754182,0.723904,1:02:13
5,0.481952,0.493541,0.874595,0.960041,0.751061,0.737817,1:02:13
6,0.407494,0.487181,0.884508,0.962939,0.765042,0.737876,1:02:17
7,0.312614,0.490211,0.873909,0.967171,0.776052,0.743914,1:02:14
8,0.258556,0.493020,0.881420,0.960537,0.778186,0.746056,1:02:14
9,0.192210,0.471038,0.886682,0.970031,0.785959,0.752159,1:02:18
10,0.158384,0.513323,0.891562,0.969955,0.781190,0.739542,1:02:10
11,0.111881,0.582346,0.875091,0.963244,0.783872,0.744668,1:02:10
12,0.095035,0.494898,0.901209,0.969535,0.792569,0.745378,1:02:10
13,0.069646,0.528147,0.900904,0.969078,0.800281,0.761375,1:02:11
14,0.056861,0.519520,0.902505,0.966485,0.796375,0.769743,1:02:13
15,0.042354,0.537478,0.893964,0.971861,0.798905,0.765527,1:02:17
16,0.034288,0.549716,0.902886,0.971670,0.805464,0.751782,1:02:18
17,0.026411,0.518703,0.907347,0.972586,0.800730,0.770147,1:02:15
18,0.023108,0.567206,0.906432,0.969497,0.806411,0.775147,1:02:11
19,0.017740,0.549237,0.900370,0.971365,0.801877,0.762655,1:02:08
20,0.015143,0.534867,0.909749,0.971518,0.806270,0.765014,1:02:09
21,0.012356,0.536804,0.908911,0.972319,0.806499,0.772299,1:02:08
22,0.010793,0.596357,0.900255,0.970717,0.801727,0.772019,1:02:07
23,0.009547,0.547005,0.906661,0.972014,0.803216,0.771020,1:02:12
24,0.008502,0.550960,0.910245,0.973196,0.812207,0.774199,1:02:12
25,0.007710,0.583333,0.910398,0.972319,0.811426,0.760594,1:02:16
26,0.007333,0.549710,0.907347,0.970565,0.806556,0.770186,1:02:15
27,0.005884,0.584508,0.907157,0.970793,0.803456,0.760858,1:02:23
28,0.005559,0.569944,0.907652,0.969726,0.807296,0.766028,1:02:16
29,0.005076,0.548327,0.911313,0.969421,0.811357,0.768213,1:02:11
