epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,2.119854,1.062665,0.748885,0.882793,0.462785,0.493591,45:11
1,1.431164,0.769799,0.815724,0.916117,0.604560,0.638025,45:04
2,1.131237,0.672903,0.827163,0.939528,0.663586,0.679431,45:14
3,0.939338,0.581707,0.843368,0.946544,0.700198,0.706360,45:04
4,0.739573,0.613180,0.846532,0.949365,0.716365,0.705497,44:59
5,0.585984,0.601432,0.836542,0.950509,0.708641,0.688728,45:02
6,0.403033,0.671727,0.830709,0.953445,0.726421,0.707773,45:01
7,0.327017,0.792767,0.835856,0.947726,0.720056,0.704483,44:58
8,0.243480,0.611195,0.864720,0.951996,0.738921,0.726509,45:04
9,0.162963,0.627506,0.851336,0.953483,0.748444,0.749787,45:01
10,0.101907,0.651704,0.861669,0.960308,0.752873,0.740384,44:54
11,0.075212,0.643609,0.864491,0.958516,0.750403,0.726742,45:01
12,0.050398,0.648954,0.864720,0.959622,0.758855,0.765283,45:01
13,0.037708,0.703969,0.858886,0.957715,0.749867,0.752896,44:56
14,0.027096,0.650675,0.879361,0.955847,0.769640,0.763340,44:56
15,0.023482,0.631992,0.881839,0.957448,0.760937,0.738885,44:56
16,0.020517,0.745999,0.862356,0.956877,0.761011,0.759119,45:02
17,0.016228,0.750804,0.859572,0.958707,0.764186,0.765811,45:06
18,0.011956,0.769882,0.865482,0.953979,0.768059,0.760043,45:00
19,0.010389,0.754687,0.868571,0.955161,0.768913,0.765277,45:00
20,0.008553,0.667023,0.901476,0.954360,0.771283,0.762952,45:06
21,0.007392,0.719522,0.879590,0.955046,0.771608,0.759378,44:59
22,0.006274,0.717367,0.873985,0.957753,0.773167,0.761709,44:57
23,0.005538,0.656524,0.879056,0.959584,0.777735,0.772042,44:59
24,0.005067,0.726624,0.874824,0.960232,0.771039,0.767268,44:58
25,0.004552,0.718133,0.875396,0.960079,0.771105,0.767209,44:58
26,0.004273,0.671549,0.887940,0.961033,0.771380,0.768487,44:57
27,0.003869,0.734725,0.872040,0.959393,0.767193,0.761352,44:57
28,0.003647,0.739285,0.875891,0.960651,0.774760,0.776518,45:04
29,0.003509,0.702340,0.891600,0.961147,0.777532,0.773080,44:57
