epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,6.229864,5.974222,0.002669,0.034316,0.000305,0.000064,14:41
1,6.039227,5.881970,0.000191,0.043772,0.000160,0.000088,14:37
2,5.904718,5.808589,0.022267,0.037214,0.002310,0.001317,14:37
3,5.742163,5.660268,0.032943,0.091585,0.006966,0.006526,14:39
4,5.569428,5.652648,0.030541,0.076905,0.013312,0.013271,14:38
5,5.372676,5.372823,0.064933,0.119533,0.025541,0.019133,14:52
6,5.128306,4.928980,0.087543,0.178251,0.038332,0.043878,14:34
7,4.587865,3.839980,0.205895,0.342738,0.118195,0.122735,14:35
8,3.444489,2.389124,0.450071,0.643878,0.286162,0.271162,14:37
9,2.608844,1.857873,0.526976,0.713578,0.419361,0.410157,14:36
10,2.070091,1.519876,0.622755,0.769474,0.503327,0.437812,14:35
11,1.689746,1.250825,0.642010,0.854425,0.544697,0.502799,14:38
12,1.371326,1.407456,0.644870,0.821215,0.561426,0.521751,14:37
13,1.100148,1.138512,0.712891,0.882564,0.600692,0.577715,14:37
14,0.881963,1.298243,0.657681,0.852175,0.598890,0.620388,14:37
15,0.682492,1.241698,0.653372,0.867312,0.614788,0.596664,14:36
16,0.452666,1.266534,0.662371,0.881649,0.616524,0.640572,14:38
17,0.320986,1.447765,0.656270,0.886377,0.627984,0.586858,14:38
18,0.209073,1.034451,0.755062,0.888054,0.663168,0.655771,14:37
19,0.149391,1.154978,0.687116,0.908682,0.656108,0.656271,14:37
20,0.120598,1.144463,0.671560,0.909292,0.655321,0.613658,14:38
21,0.088557,1.148934,0.714493,0.898959,0.672047,0.631497,14:37
22,0.067961,1.030486,0.739925,0.909711,0.666836,0.645274,14:38
23,0.058606,1.092998,0.726503,0.904221,0.675304,0.643961,14:38
24,0.054750,1.163284,0.731384,0.908873,0.672679,0.676916,14:38
25,0.045743,0.936914,0.763107,0.918900,0.670037,0.670441,14:38
26,0.038706,1.192796,0.714607,0.910588,0.662072,0.667217,14:36
27,0.037298,0.972477,0.742784,0.916346,0.677826,0.679914,14:37
28,0.031979,1.050941,0.745148,0.897396,0.673071,0.678854,14:36
29,0.028835,0.948901,0.776299,0.917642,0.679490,0.678632,14:37
