epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.513644,1.749703,0.566287,0.741831,0.331464,0.419659,13:04
1,1.975706,1.256192,0.696115,0.834636,0.517303,0.479880,13:08
2,1.404239,1.122409,0.689366,0.885805,0.600018,0.537281,13:09
3,1.021669,1.040297,0.712853,0.903725,0.614339,0.623160,13:08
4,0.713450,1.005146,0.710299,0.879704,0.656678,0.604369,13:08
5,0.469147,0.895934,0.754718,0.904526,0.659210,0.663067,13:07
6,0.273566,0.768052,0.776681,0.934686,0.674132,0.700323,13:08
7,0.159410,0.985544,0.697030,0.933847,0.672751,0.692353,13:07
8,0.087661,0.831217,0.801350,0.911084,0.688084,0.690525,13:09
9,0.045331,0.832009,0.780074,0.936363,0.695244,0.683227,13:08
10,0.026359,0.834702,0.722042,0.940443,0.703512,0.674320,13:09
11,0.017445,0.810594,0.758264,0.943188,0.708623,0.658879,13:07
12,0.013588,0.749346,0.743737,0.931940,0.706454,0.710647,13:09
13,0.011467,0.839159,0.768483,0.943417,0.713762,0.715577,13:09
14,0.009616,0.882923,0.763335,0.947611,0.707205,0.711314,13:09
15,0.007599,0.864286,0.739276,0.948564,0.717739,0.726805,13:09
16,0.007158,0.815816,0.775117,0.941473,0.717072,0.716178,13:15
17,0.006354,0.832541,0.766881,0.941892,0.711805,0.710126,13:03
18,0.005826,0.840666,0.775117,0.945667,0.722985,0.720230,13:05
19,0.005031,0.852179,0.789606,0.943608,0.719241,0.714162,13:03
20,0.004665,0.827103,0.770199,0.944675,0.717678,0.711206,13:04
21,0.004777,0.815682,0.776185,0.941625,0.722000,0.720992,13:03
22,0.004520,0.846499,0.767720,0.941320,0.714715,0.711538,13:05
23,0.004009,0.816396,0.773249,0.949861,0.722243,0.722969,13:05
24,0.003834,0.821207,0.771648,0.947306,0.723186,0.717234,13:04
25,0.003627,0.812622,0.770542,0.945819,0.720751,0.714797,13:04
26,0.003407,0.785748,0.775613,0.946010,0.726483,0.722471,13:04
27,0.003297,0.797652,0.776986,0.948831,0.723710,0.718994,13:04
28,0.003171,0.791298,0.775956,0.948221,0.727038,0.725018,13:04
29,0.003181,0.800673,0.773058,0.946963,0.723055,0.720074,13:04
