epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.603899,1.895635,0.514165,0.796164,0.364983,0.402324,13:41
1,2.235932,1.257058,0.683075,0.844321,0.498991,0.488691,13:21
2,1.691538,1.113665,0.679796,0.897815,0.567837,0.544257,13:28
3,1.300658,1.148922,0.714416,0.870210,0.611646,0.590600,13:22
4,0.974377,1.146181,0.698136,0.852747,0.617979,0.560476,13:22
5,0.594880,1.037846,0.730736,0.900294,0.637606,0.593469,13:24
6,0.365740,1.225957,0.695886,0.866512,0.644063,0.629175,13:28
7,0.226427,1.083162,0.757845,0.917947,0.648004,0.632298,13:29
8,0.110860,1.002402,0.783048,0.914401,0.670898,0.610386,13:23
9,0.053584,1.017290,0.792275,0.914554,0.676996,0.645751,13:23
10,0.029964,0.897936,0.824837,0.929119,0.681201,0.641889,13:27
11,0.019268,0.931791,0.824227,0.935105,0.694752,0.652631,13:27
12,0.013728,0.971653,0.777786,0.934076,0.681509,0.653518,13:27
13,0.008457,0.974009,0.828535,0.934342,0.690656,0.656671,13:29
14,0.006753,0.920859,0.831471,0.936363,0.696961,0.657726,13:29
15,0.005798,0.926930,0.834179,0.934152,0.700367,0.663523,13:26
16,0.004670,0.901472,0.833111,0.935029,0.703028,0.660607,13:25
17,0.004303,0.900957,0.832958,0.940939,0.703607,0.660761,13:24
18,0.003655,0.947618,0.829603,0.938842,0.697898,0.658181,13:25
19,0.003372,0.927733,0.834331,0.941663,0.703308,0.661690,13:31
20,0.003232,0.923356,0.836390,0.939490,0.706753,0.662444,13:25
21,0.002861,0.916137,0.837114,0.939452,0.705673,0.660622,13:28
22,0.002989,0.913181,0.834827,0.940291,0.704713,0.661669,13:30
23,0.002574,0.935708,0.834789,0.939147,0.703330,0.660344,13:27
24,0.002471,0.918477,0.799939,0.938537,0.704950,0.660338,13:30
25,0.002233,0.907514,0.840127,0.938575,0.710864,0.661308,13:25
26,0.002090,0.900948,0.840813,0.939490,0.708748,0.659652,13:24
27,0.001839,0.911833,0.839440,0.938384,0.709438,0.693127,13:24
28,0.002142,0.915375,0.840775,0.939566,0.710750,0.664182,13:23
29,0.001931,0.885087,0.841423,0.938460,0.707565,0.697141,13:25
