epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.779819,2.708087,0.402753,0.607542,0.132216,0.162243,12:08
1,2.922469,1.935783,0.545125,0.739619,0.277558,0.358128,11:56
2,2.227563,1.600083,0.558013,0.773287,0.368489,0.411615,11:56
3,1.805588,1.327659,0.653906,0.808632,0.469084,0.484645,11:56
4,1.489793,1.266045,0.638617,0.808747,0.508818,0.561106,11:54
5,1.249567,1.179769,0.670340,0.868837,0.573358,0.610957,11:56
6,1.038634,1.098244,0.723377,0.869562,0.596310,0.631136,11:55
7,0.870571,0.932302,0.777672,0.920273,0.595792,0.549186,11:56
8,0.717446,1.050771,0.689290,0.873299,0.621231,0.663508,11:57
9,0.589297,1.047880,0.728486,0.872422,0.621141,0.607254,11:56
10,0.447484,0.922546,0.734053,0.922370,0.636908,0.618531,12:01
11,0.354397,1.092127,0.722500,0.859725,0.655430,0.671569,12:04
12,0.284414,1.060682,0.702177,0.864033,0.646136,0.594788,12:03
13,0.215118,0.948422,0.732985,0.906470,0.663441,0.678441,12:03
14,0.175887,1.003385,0.715675,0.887215,0.654767,0.611787,11:58
15,0.134681,1.009488,0.710870,0.881458,0.663650,0.645881,11:56
16,0.108834,1.058475,0.679033,0.927022,0.659972,0.636206,11:54
17,0.085105,0.933388,0.729554,0.889579,0.669326,0.656292,11:57
18,0.073887,1.030752,0.730774,0.892210,0.670613,0.655481,11:55
19,0.060061,1.076236,0.733061,0.896633,0.673431,0.655461,11:55
20,0.053069,1.052151,0.715370,0.891791,0.665965,0.662874,11:56
21,0.045842,1.001103,0.754337,0.890151,0.682685,0.672701,11:55
22,0.040733,1.049521,0.714340,0.878751,0.665422,0.648914,11:57
23,0.036103,1.067250,0.737141,0.892363,0.676492,0.670861,11:55
24,0.032996,1.042278,0.735463,0.892210,0.686860,0.664757,11:57
25,0.029563,1.044752,0.737789,0.884318,0.683275,0.680941,11:57
26,0.027610,1.040922,0.741793,0.892897,0.683799,0.665489,11:57
27,0.025262,1.150149,0.730964,0.893545,0.677736,0.665717,11:57
28,0.023910,1.068905,0.721280,0.869409,0.677999,0.663182,11:55
29,0.021856,1.180816,0.737675,0.879437,0.676003,0.663431,11:55
