epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.727711,2.534091,0.379494,0.609982,0.132532,0.210814,12:25
1,2.790847,1.794198,0.581347,0.730316,0.315142,0.374429,12:11
2,2.116857,1.422363,0.595531,0.811225,0.408346,0.424249,12:14
3,1.720560,1.193262,0.657643,0.862737,0.480807,0.394659,12:11
4,1.429087,1.090450,0.704846,0.867808,0.544236,0.500966,12:11
5,1.209361,1.074664,0.753003,0.880619,0.601657,0.624477,12:17
6,1.017749,1.987769,0.750257,0.908301,0.615608,0.615199,12:19
7,0.858410,0.792212,0.788958,0.932131,0.635084,0.629568,12:20
8,0.720756,0.908475,0.747283,0.900484,0.625263,0.618737,12:13
9,0.604902,15.196468,0.764174,0.904335,0.647451,0.639275,12:10
10,0.465060,1.110880,0.777062,0.900942,0.660576,0.669502,12:09
11,0.381211,0.884359,0.772029,0.900904,0.658108,0.608993,12:12
12,0.287261,9.716900,0.793838,0.910131,0.675720,0.675995,12:12
13,0.231491,2.555916,0.764670,0.893774,0.682939,0.673195,12:13
14,0.176135,0.882015,0.792275,0.913219,0.687074,0.692249,12:12
15,0.147052,0.974861,0.777863,0.896328,0.688291,0.688479,12:10
16,0.114725,0.941971,0.768902,0.906204,0.689638,0.702854,12:11
17,0.096648,0.873835,0.780608,0.898692,0.700175,0.713200,12:10
18,0.079980,0.845412,0.786861,0.933199,0.695778,0.706420,12:10
19,0.068504,0.894093,0.791970,0.944027,0.706567,0.704802,12:09
20,0.057735,3.097255,0.788920,0.895413,0.702579,0.702565,12:08
21,0.052354,1.757168,0.786823,0.901247,0.703005,0.726619,12:06
22,0.044192,0.934057,0.768102,0.895566,0.694621,0.691412,12:07
23,0.039321,0.911103,0.783887,0.935944,0.703147,0.703695,12:09
24,0.035471,2.370773,0.784802,0.893812,0.698762,0.705342,12:07
25,0.033370,0.822283,0.802112,0.915698,0.709918,0.713400,12:09
26,0.030738,67.126004,0.785946,0.912609,0.708605,0.710897,12:08
27,0.028535,13.047723,0.783467,0.915011,0.704175,0.709951,12:07
28,0.025653,1.737384,0.793114,0.895833,0.703774,0.702739,12:04
29,0.023692,0.951591,0.776490,0.904640,0.694838,0.676906,12:01
