epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.907192,2.863719,0.364205,0.578602,0.110429,0.147301,10:16
1,2.910018,2.013342,0.502002,0.687154,0.236526,0.318679,10:16
2,2.141812,1.451573,0.586533,0.844778,0.367100,0.437608,10:15
3,1.681796,1.320156,0.638274,0.842224,0.428132,0.511808,10:15
4,1.350504,1.160870,0.682350,0.860297,0.507225,0.519074,10:17
5,1.087835,1.157139,0.622183,0.896862,0.542222,0.556362,10:17
6,0.885622,1.098354,0.667861,0.878065,0.559363,0.571908,10:17
7,0.699437,1.024604,0.716819,0.883784,0.596750,0.583542,10:18
8,0.561295,1.076139,0.709727,0.855569,0.604352,0.597564,10:19
9,0.446470,0.970301,0.683037,0.912571,0.636116,0.662968,10:17
10,0.348143,1.069965,0.702253,0.931216,0.640961,0.613169,10:17
11,0.273595,1.045750,0.749037,0.882259,0.649531,0.670900,10:18
12,0.179245,1.065375,0.700194,0.917223,0.655688,0.667393,10:17
13,0.138493,0.979744,0.751249,0.930453,0.667569,0.679887,10:18
14,0.091638,0.911602,0.748313,0.929767,0.677310,0.683777,10:17
15,0.071279,0.979860,0.755786,0.914439,0.671942,0.689139,10:17
16,0.056200,0.910029,0.745873,0.941091,0.671683,0.676323,10:18
17,0.048067,0.894471,0.748465,0.930491,0.677876,0.689797,10:18
18,0.042103,0.973712,0.768025,0.921341,0.679274,0.693367,10:16
19,0.037501,0.950870,0.744081,0.925039,0.686695,0.680624,10:20
20,0.031080,0.926700,0.780150,0.933389,0.690291,0.702268,10:17
21,0.025790,0.926149,0.788844,0.939109,0.686705,0.688237,10:19
22,0.020452,0.805951,0.808709,0.937011,0.685579,0.684293,10:18
23,0.016769,0.957564,0.752507,0.903725,0.694396,0.708367,10:16
24,0.014358,0.877806,0.802303,0.927594,0.693085,0.710243,10:18
25,0.013230,0.846339,0.793610,0.926793,0.693631,0.713643,10:15
26,0.010812,0.918793,0.804591,0.935334,0.699267,0.695289,10:16
27,0.010432,0.960173,0.798376,0.917566,0.694812,0.700819,10:18
28,0.009550,0.954112,0.795135,0.932284,0.697677,0.718991,10:18
29,0.008126,0.963513,0.794029,0.920502,0.704814,0.718350,10:18
