epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.254254,1.540851,0.582606,0.799977,0.357049,0.380155,13:06
1,1.875463,1.218893,0.673352,0.894422,0.518804,0.492212,13:02
2,1.356235,1.046748,0.713273,0.859420,0.617570,0.560351,13:17
3,1.004223,0.891429,0.710184,0.917757,0.631302,0.552863,13:03
4,0.712810,0.905089,0.735082,0.894269,0.652087,0.553591,13:03
5,0.485602,0.814337,0.780913,0.925306,0.659783,0.595956,13:02
6,0.307059,0.961294,0.735768,0.899760,0.689371,0.618121,13:03
7,0.192887,0.861203,0.755595,0.933923,0.701296,0.629739,13:03
8,0.104922,0.955735,0.716742,0.880238,0.698170,0.603474,13:03
9,0.061107,1.028465,0.791055,0.890800,0.718080,0.648821,13:01
10,0.036138,0.964549,0.749380,0.906852,0.717253,0.631635,13:02
11,0.026004,0.923065,0.773325,0.896328,0.719664,0.642529,13:01
12,0.019538,0.937505,0.777443,0.912609,0.719806,0.631090,13:04
13,0.015451,0.947838,0.787052,0.904755,0.719689,0.636255,13:03
14,0.012759,0.940029,0.743013,0.893316,0.719374,0.638097,13:03
15,0.011638,0.975690,0.791894,0.895032,0.731612,0.646678,13:01
16,0.009940,0.937381,0.790864,0.902963,0.731510,0.637489,13:03
17,0.009182,0.941358,0.778778,0.887597,0.723471,0.636540,13:02
18,0.008230,0.973054,0.787662,0.888664,0.732164,0.643998,13:01
19,0.007523,0.981628,0.783239,0.887826,0.730012,0.634314,13:02
20,0.007008,0.952129,0.799710,0.886987,0.731335,0.640774,13:02
21,0.006876,0.970239,0.784268,0.906242,0.728124,0.645194,13:03
22,0.006084,0.939086,0.799977,0.889274,0.732348,0.640395,13:03
23,0.006031,0.962327,0.785793,0.904297,0.728122,0.642139,13:03
24,0.005396,0.950211,0.782247,0.904717,0.729253,0.638179,13:02
25,0.005333,0.986352,0.782857,0.887940,0.730771,0.629858,13:02
26,0.005038,0.954567,0.787280,0.891638,0.731708,0.646150,13:04
27,0.004997,0.961439,0.795364,0.886262,0.735245,0.638308,13:13
28,0.004917,0.964411,0.796507,0.903611,0.731412,0.642775,13:10
29,0.004546,0.963027,0.790102,0.889961,0.731798,0.642070,13:14
