epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.776415,1.918920,0.558013,0.737332,0.302502,0.327631,10:20
1,2.456590,1.452500,0.591299,0.802036,0.471999,0.374085,09:42
2,1.846154,1.208403,0.659054,0.864110,0.535644,0.548635,09:41
3,1.244796,1.178273,0.708812,0.843863,0.597852,0.543301,09:42
4,0.729762,1.265434,0.646852,0.872460,0.594922,0.534455,09:44
5,0.360444,1.279398,0.680063,0.851718,0.622555,0.561935,09:43
6,0.155217,1.166995,0.721508,0.881000,0.628828,0.559748,09:41
7,0.072137,1.365921,0.645632,0.832577,0.639629,0.614442,09:43
8,0.034946,1.352604,0.635452,0.863309,0.646392,0.585131,09:40
9,0.021696,1.385865,0.674725,0.866130,0.656285,0.608261,09:43
10,0.015063,1.412299,0.634384,0.843024,0.644387,0.614816,09:41
11,0.012126,1.386123,0.640523,0.831281,0.650100,0.652612,09:42
12,0.009847,1.379210,0.682045,0.831090,0.652386,0.626995,09:42
13,0.008102,1.373760,0.737217,0.823693,0.665666,0.673267,09:42
14,0.006674,1.371902,0.694285,0.865940,0.661552,0.660983,09:42
15,0.005635,1.431432,0.664887,0.832806,0.660395,0.670970,09:42
16,0.005327,1.424178,0.663896,0.840203,0.656470,0.668486,09:41
17,0.004719,1.432684,0.703321,0.833187,0.660217,0.667093,09:41
18,0.004309,1.448663,0.654135,0.839402,0.656063,0.634333,09:43
19,0.004352,1.458576,0.654554,0.840241,0.661482,0.674416,09:42
20,0.003889,1.525050,0.664087,0.837191,0.658308,0.666984,09:43
21,0.003900,1.424160,0.676707,0.843329,0.665646,0.669057,09:43
22,0.003760,1.406373,0.666374,0.837191,0.662161,0.667925,09:43
23,0.003178,1.455260,0.672132,0.843863,0.661495,0.665302,09:43
24,0.003257,1.416135,0.670149,0.842986,0.662854,0.666452,09:42
25,0.002924,1.463253,0.672780,0.842186,0.664553,0.673706,09:43
26,0.002888,1.492046,0.661036,0.830518,0.662798,0.674110,09:43
27,0.002681,1.472169,0.666718,0.837915,0.662984,0.668773,09:40
28,0.002583,1.431505,0.664506,0.838487,0.661958,0.669134,09:42
29,0.002556,1.446499,0.669310,0.835856,0.663260,0.671388,09:42
