epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,2.543139,1.010248,0.762840,0.890990,0.485768,0.512208,1:10:51
1,1.281756,0.633159,0.838563,0.942006,0.639238,0.633976,1:10:59
2,1.011359,0.474265,0.878217,0.954856,0.726741,0.747761,1:11:07
3,0.851870,0.460282,0.884661,0.959317,0.738442,0.735327,1:11:03
4,0.737426,0.470270,0.870858,0.965989,0.741739,0.750880,1:11:03
5,0.646769,0.417762,0.878255,0.971975,0.771021,0.755230,1:10:52
6,0.573349,0.409271,0.886415,0.966142,0.784076,0.736464,1:10:46
7,0.505332,0.369082,0.907271,0.974797,0.793573,0.801289,1:10:46
8,0.449062,0.413035,0.916956,0.974111,0.792019,0.778218,1:10:45
9,0.400838,0.447503,0.888626,0.972052,0.777456,0.779742,1:10:47
10,0.325697,0.413445,0.901857,0.971365,0.798832,0.781371,1:10:41
11,0.289430,0.404085,0.916613,0.975293,0.808002,0.788160,1:10:43
12,0.229193,0.405171,0.924543,0.972891,0.817967,0.810964,1:10:55
13,0.201790,0.382788,0.909521,0.975445,0.813214,0.814852,1:11:07
14,0.161984,0.423439,0.897891,0.972586,0.808914,0.753371,1:11:08
15,0.142416,0.423175,0.914249,0.973310,0.825163,0.820935,1:11:18
16,0.116481,0.471130,0.917718,0.975712,0.827204,0.812115,1:11:10
17,0.101447,0.420164,0.926907,0.973920,0.824454,0.815447,1:11:09
18,0.083341,0.474031,0.912724,0.975750,0.822157,0.811495,1:11:11
19,0.075726,0.456207,0.918633,0.978648,0.821452,0.819017,1:11:11
20,0.062879,0.448912,0.917757,0.977352,0.822211,0.792572,1:11:12
21,0.056902,0.482793,0.911237,0.976513,0.821566,0.784322,1:11:06
22,0.048820,0.446463,0.924086,0.975903,0.833365,0.815341,1:11:12
23,0.044356,0.440011,0.927289,0.977085,0.831838,0.822413,1:11:08
24,0.037563,0.454251,0.925916,0.980669,0.837065,0.817916,1:11:09
25,0.035388,0.455993,0.923971,0.979296,0.831572,0.814414,1:11:11
26,0.032362,0.451694,0.926755,0.980554,0.842026,0.828015,1:11:12
27,0.030655,0.469261,0.927822,0.979525,0.842520,0.841456,1:11:12
28,0.026722,0.464582,0.932322,0.980669,0.838507,0.833410,1:11:09
29,0.024424,0.458039,0.936592,0.978495,0.845746,0.840874,1:11:10
