epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,1.678802,0.843672,0.778282,0.915507,0.529960,0.544374,1:02:01
1,1.029932,0.640847,0.841232,0.944904,0.665444,0.680360,1:02:10
2,0.817816,0.558223,0.852061,0.952492,0.693807,0.700428,1:02:21
3,0.681570,0.518042,0.885309,0.960537,0.750965,0.753350,1:02:25
4,0.577012,0.495077,0.865139,0.957487,0.742188,0.727749,1:02:25
5,0.490916,0.458649,0.880734,0.966523,0.755497,0.738771,1:02:24
6,0.419076,0.524045,0.868647,0.963053,0.767147,0.742826,1:02:32
7,0.359318,0.507621,0.875129,0.961185,0.769869,0.742467,1:02:35
8,0.272060,0.489189,0.890533,0.962863,0.781313,0.766943,1:02:34
9,0.226502,0.511883,0.896557,0.961299,0.767105,0.748809,1:02:35
10,0.170052,0.450997,0.910436,0.967705,0.784514,0.756058,1:02:36
11,0.138318,0.617735,0.876349,0.963587,0.768127,0.752349,1:02:32
12,0.120159,0.524308,0.888321,0.961681,0.792032,0.785518,1:02:34
13,0.090162,0.521065,0.879857,0.956266,0.783399,0.771383,1:02:35
14,0.072528,0.462038,0.911999,0.965379,0.797306,0.771843,1:02:34
15,0.053059,0.484313,0.908072,0.964159,0.803655,0.787036,1:02:33
16,0.043782,0.554045,0.898158,0.965074,0.796141,0.784446,1:02:32
17,0.032216,0.506435,0.898807,0.965799,0.803247,0.765769,1:02:31
18,0.026090,0.475202,0.904450,0.968010,0.805149,0.779188,1:02:30
19,0.019681,0.601053,0.878827,0.969421,0.791215,0.760263,1:02:25
20,0.016774,0.516825,0.882221,0.967286,0.794829,0.773008,1:02:26
21,0.013631,0.491352,0.909406,0.967514,0.807084,0.781414,1:02:29
22,0.012032,0.507407,0.905098,0.968506,0.805124,0.773972,1:02:40
23,0.009130,0.511675,0.906204,0.966942,0.811550,0.779663,1:02:45
24,0.008765,0.603128,0.883631,0.967133,0.794071,0.771978,1:02:20
25,0.007206,0.515100,0.897167,0.964121,0.809619,0.786274,1:02:32
26,0.006490,0.516712,0.899645,0.967591,0.809510,0.779422,1:02:33
27,0.005825,0.496738,0.894307,0.964426,0.806307,0.780681,1:02:29
28,0.004979,0.514670,0.896595,0.967896,0.809705,0.782584,1:02:26
29,0.004547,0.506960,0.892630,0.969154,0.808229,0.784422,1:02:34
