epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,2.584747,1.733318,0.619133,0.780074,0.239059,0.285900,27:35
1,1.798515,1.251887,0.694132,0.831929,0.351217,0.385086,22:58
2,1.546601,1.105173,0.705113,0.865520,0.434234,0.399268,22:52
3,1.387291,0.931674,0.766157,0.901247,0.524582,0.516895,22:54
4,1.271017,0.883020,0.769322,0.909178,0.528126,0.520797,22:40
5,1.175516,0.863691,0.776452,0.899531,0.558359,0.568189,23:06
6,1.093455,0.791622,0.803904,0.905327,0.584939,0.573157,22:52
7,1.023647,0.806383,0.812407,0.922370,0.605440,0.597779,22:49
8,0.960550,0.834744,0.814161,0.917757,0.615650,0.618079,23:08
9,0.871269,0.746279,0.814008,0.932779,0.616746,0.599167,23:20
10,0.816731,0.789523,0.806345,0.929805,0.639106,0.607467,22:33
11,0.770566,0.735918,0.822435,0.934838,0.648168,0.649462,22:41
12,0.727412,0.760029,0.807183,0.931597,0.634040,0.605730,22:40
13,0.684692,0.768681,0.803599,0.928852,0.638493,0.573843,23:02
14,0.614826,0.742235,0.825028,0.935448,0.661899,0.657801,23:07
15,0.577684,0.818862,0.822015,0.922637,0.659942,0.676847,22:47
16,0.513934,0.709698,0.857971,0.938727,0.681412,0.667613,23:06
17,0.481062,0.700634,0.841232,0.936821,0.672825,0.634531,22:59
18,0.454500,0.710805,0.829412,0.938155,0.670236,0.652963,22:47
19,0.429227,0.767006,0.834293,0.941511,0.677405,0.637217,23:05
20,0.377452,0.727852,0.847790,0.938613,0.689932,0.672401,23:07
21,0.353105,0.788435,0.840546,0.928738,0.693953,0.695514,22:58
22,0.308508,0.747940,0.841804,0.932093,0.688129,0.692763,22:54
23,0.289968,0.742415,0.847714,0.940786,0.693455,0.683737,22:45
24,0.255804,0.699686,0.835894,0.944561,0.694537,0.658241,22:46
25,0.234625,0.700226,0.850764,0.941587,0.705964,0.715450,22:42
26,0.224270,0.740956,0.850193,0.945705,0.697389,0.699844,22:45
27,0.196678,0.696336,0.853586,0.946162,0.696456,0.710347,22:48
28,0.184341,0.831801,0.835208,0.942883,0.683526,0.701227,22:53
29,0.173861,0.803353,0.854692,0.945476,0.690505,0.685359,23:02
