epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,2.008738,1.287728,0.710413,0.840127,0.292683,0.358845,48:10
1,1.091708,0.737216,0.819041,0.918824,0.502929,0.554882,47:59
2,0.844407,0.634922,0.833683,0.937050,0.594596,0.626819,47:56
3,0.698420,0.570544,0.843558,0.949556,0.652876,0.657187,48:07
4,0.594868,0.541632,0.839021,0.956038,0.671649,0.654058,47:56
5,0.512083,0.474987,0.856408,0.961376,0.703359,0.709016,48:05
6,0.441851,0.529260,0.856026,0.960956,0.706994,0.709830,47:51
7,0.382064,0.469546,0.857780,0.963473,0.724535,0.693815,47:52
8,0.333316,0.526656,0.873985,0.962634,0.737854,0.744421,48:05
9,0.287717,0.499096,0.865520,0.965684,0.746234,0.698836,47:50
10,0.223786,0.473445,0.868609,0.967934,0.752194,0.728245,48:12
11,0.186833,0.516293,0.878980,0.965112,0.766073,0.768186,48:39
12,0.144842,0.489434,0.878713,0.966523,0.775382,0.759509,48:03
13,0.121689,0.598156,0.866779,0.959317,0.753707,0.743839,47:45
14,0.093820,0.556627,0.878484,0.956915,0.779308,0.761911,47:43
15,0.078496,0.530265,0.886910,0.971404,0.773171,0.782231,47:48
16,0.060174,0.569492,0.876425,0.965455,0.775721,0.761628,47:42
17,0.051449,0.494274,0.889579,0.971937,0.794289,0.794358,47:40
18,0.039572,0.496763,0.902314,0.970870,0.784167,0.775529,47:46
19,0.035047,0.560003,0.891677,0.969764,0.787499,0.780457,47:40
20,0.028521,0.545799,0.893545,0.971022,0.795771,0.803833,47:41
21,0.024195,0.526847,0.912800,0.972357,0.803199,0.803636,47:44
22,0.019584,0.561660,0.893735,0.968391,0.792909,0.785696,47:46
23,0.017740,0.613069,0.888817,0.967324,0.790125,0.788657,47:42
24,0.014829,0.643478,0.890723,0.960384,0.794234,0.799439,47:42
25,0.013103,0.597353,0.915812,0.960194,0.812669,0.805232,47:37
26,0.011602,0.576828,0.891219,0.967934,0.800070,0.788646,47:44
27,0.011103,0.579682,0.908301,0.969611,0.797445,0.782257,47:39
28,0.009545,0.619513,0.906089,0.969764,0.800488,0.797737,47:40
29,0.008825,0.625724,0.895375,0.969840,0.799874,0.788969,47:38
