epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,1.612141,0.840666,0.786518,0.905098,0.508368,0.566170,1:01:35
1,1.008407,0.652949,0.830861,0.942197,0.661179,0.631336,1:01:38
2,0.808861,0.520694,0.860564,0.956953,0.704461,0.688555,1:01:37
3,0.674440,0.486339,0.883860,0.964083,0.756787,0.745858,1:01:34
4,0.564208,0.467257,0.889884,0.963130,0.755643,0.736556,1:01:34
5,0.480388,0.514912,0.880124,0.961757,0.757435,0.740105,1:01:34
6,0.406164,0.494925,0.873260,0.963435,0.769530,0.727808,1:01:28
7,0.322765,0.492976,0.889313,0.967705,0.783927,0.771131,1:01:29
8,0.257866,0.481697,0.874023,0.965951,0.777040,0.737655,1:01:33
9,0.189630,0.462568,0.886720,0.971327,0.784945,0.763441,1:01:33
10,0.154674,0.511248,0.890723,0.963778,0.792943,0.775844,1:01:34
11,0.131469,0.512973,0.894384,0.967095,0.785042,0.755540,1:02:00
12,0.096449,0.466304,0.921226,0.967400,0.811909,0.788104,1:02:26
13,0.077594,0.536035,0.899684,0.971594,0.799219,0.765399,1:02:27
14,0.058232,0.434014,0.920464,0.969001,0.811494,0.789033,1:02:21
15,0.047298,0.503521,0.899798,0.962062,0.791600,0.756265,1:01:53
16,0.069538,0.495910,0.901132,0.970260,0.794325,0.755054,1:01:46
17,0.039618,0.545327,0.907805,0.968048,0.809541,0.755689,1:01:48
18,0.028924,0.574379,0.881572,0.970527,0.795318,0.771657,1:01:30
19,0.021332,0.566849,0.898120,0.970450,0.814196,0.786016,1:01:28
20,0.018297,0.514361,0.911961,0.967972,0.809834,0.780789,1:01:32
21,0.015216,0.541800,0.911160,0.968048,0.811524,0.781682,1:01:30
22,0.011950,0.561681,0.911580,0.966676,0.810721,0.783900,1:01:33
23,0.010111,0.533603,0.912647,0.968735,0.811363,0.783685,1:01:33
24,0.009387,0.539603,0.910169,0.967705,0.809202,0.773130,1:01:30
25,0.007853,0.554807,0.909368,0.968544,0.809768,0.775026,1:01:30
26,0.007406,0.542173,0.914211,0.968735,0.817670,0.786884,1:01:30
27,0.006573,0.564491,0.909063,0.971937,0.810508,0.776062,1:01:30
28,0.005795,0.564506,0.910474,0.972586,0.814827,0.776398,1:01:35
29,0.005025,0.568548,0.916613,0.973196,0.819692,0.792680,1:01:33
