epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,1.579125,0.797482,0.803904,0.924543,0.562511,0.577767,2:46:58
1,0.931801,0.512047,0.860373,0.960384,0.713310,0.712084,2:47:02
2,0.676312,0.444046,0.861860,0.967362,0.766294,0.758602,2:47:03
3,0.517070,0.444611,0.875396,0.968925,0.772428,0.758853,2:47:00
4,0.375064,0.427522,0.875815,0.972852,0.783051,0.762776,2:47:03
5,0.282115,0.448715,0.883555,0.971060,0.794902,0.768678,2:47:02
6,0.209086,0.448133,0.890495,0.965341,0.804675,0.784329,2:47:00
7,0.129044,0.555496,0.895871,0.968239,0.807159,0.785426,2:46:53
8,0.094045,0.407341,0.907805,0.976017,0.814833,0.784683,2:46:52
9,0.075305,0.528057,0.888169,0.972776,0.804811,0.783625,2:46:52
10,0.061535,0.537702,0.893697,0.974988,0.804780,0.796678,2:46:54
11,0.042401,0.476070,0.905746,0.977275,0.820543,0.809323,2:46:54
12,0.031337,0.445178,0.927022,0.976398,0.826326,0.796217,2:46:55
13,0.021752,0.493374,0.892248,0.978229,0.814742,0.759079,2:46:45
14,0.018084,0.488713,0.901476,0.974949,0.821317,0.798915,2:46:44
15,0.013200,0.537899,0.894231,0.973996,0.818448,0.762204,2:46:50
16,0.010863,0.447843,0.916727,0.975826,0.827449,0.795996,2:46:54
17,0.007982,0.491838,0.894117,0.976818,0.823242,0.768136,2:46:55
18,0.006180,0.514520,0.895375,0.973005,0.821901,0.766146,2:47:05
19,0.005342,0.525768,0.901171,0.977618,0.821595,0.797362,2:47:04
20,0.004536,0.476686,0.918672,0.976131,0.828396,0.799242,2:47:01
21,0.004064,0.512082,0.909559,0.973882,0.823653,0.762215,2:46:44
22,0.003732,0.556551,0.903077,0.977428,0.825238,0.798240,2:46:38
23,0.003179,0.503356,0.898540,0.977885,0.824272,0.763465,2:46:34
24,0.002964,0.518440,0.904450,0.976208,0.826794,0.798180,2:46:01
25,0.002798,0.551074,0.893087,0.974988,0.817167,0.760158,2:46:08
26,0.002462,0.535911,0.920273,0.975483,0.829458,0.801606,2:46:20
27,0.002244,0.568449,0.904183,0.975369,0.826412,0.800429,2:46:13
28,0.002171,0.565249,0.901628,0.976780,0.820200,0.795808,2:46:21
29,0.001967,0.522624,0.903268,0.976894,0.824613,0.799995,2:46:16
