epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,6.201073,5.909843,0.010066,0.025661,0.000389,0.007564,15:25
1,5.923866,5.930182,0.007664,0.030694,0.002341,0.000509,15:20
2,4.811791,2.781958,0.412094,0.596141,0.182624,0.206269,15:22
3,2.990948,1.497892,0.602166,0.832234,0.428640,0.459183,15:25
4,2.201494,1.190533,0.686239,0.869257,0.540770,0.530666,15:20
5,1.737317,1.034318,0.701605,0.912037,0.608157,0.598962,15:23
6,1.407643,0.863386,0.763679,0.916041,0.624801,0.601404,15:22
7,1.143530,1.170032,0.704694,0.849087,0.628733,0.602079,15:22
8,0.909010,0.998895,0.768407,0.913372,0.670170,0.659372,15:19
9,0.629559,0.997297,0.761505,0.915164,0.677502,0.689957,15:23
10,0.446567,1.107494,0.734853,0.883364,0.685344,0.640862,15:21
11,0.293609,0.788929,0.754413,0.929309,0.711636,0.695076,15:22
12,0.206127,0.935826,0.792961,0.923400,0.711146,0.719258,15:22
13,0.156033,0.897236,0.769894,0.926450,0.709187,0.723391,15:21
14,0.112477,0.838698,0.857284,0.924391,0.727447,0.730673,15:20
15,0.079867,0.916734,0.811835,0.893125,0.726064,0.721073,15:21
16,0.062986,0.902536,0.812064,0.927899,0.728922,0.732075,15:23
17,0.051529,0.875854,0.790864,0.927975,0.732898,0.747358,15:35
18,0.043423,0.791994,0.830328,0.925687,0.741331,0.745916,15:46
19,0.036212,0.847948,0.816411,0.932055,0.736888,0.730290,15:17
20,0.031109,0.867545,0.778663,0.925420,0.736126,0.741269,15:17
21,0.028148,0.867490,0.798033,0.926374,0.739480,0.742248,15:18
22,0.024675,0.878651,0.796774,0.926297,0.738845,0.740968,15:19
23,0.023453,0.864289,0.828688,0.925954,0.737389,0.740116,15:39
24,0.021109,0.885082,0.829298,0.925725,0.737338,0.739729,15:50
25,0.021607,0.902954,0.825180,0.928852,0.736460,0.729998,15:27
26,0.019283,0.855418,0.831281,0.927746,0.740445,0.737613,15:17
27,0.017757,0.856443,0.834179,0.929615,0.746039,0.743229,15:17
28,0.017216,0.839883,0.835094,0.927136,0.747956,0.752553,15:46
29,0.015692,0.842870,0.832005,0.927060,0.746535,0.741920,15:36
