epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.552175,1.689482,0.591833,0.796774,0.350285,0.405744,13:43
1,1.982738,1.299173,0.679719,0.830747,0.530728,0.483210,13:39
2,1.401760,1.137819,0.660541,0.815686,0.603331,0.614219,13:41
3,1.016299,0.976173,0.698250,0.908606,0.626130,0.637044,13:40
4,0.703554,0.911551,0.767606,0.916536,0.655768,0.666191,13:40
5,0.453356,0.810551,0.808327,0.922523,0.674703,0.671313,13:41
6,0.265228,0.870572,0.740382,0.930644,0.683976,0.638695,13:42
7,0.148195,0.921592,0.744652,0.919015,0.689727,0.672420,13:40
8,0.074229,0.803956,0.778892,0.920197,0.698209,0.659968,13:40
9,0.041018,0.811927,0.784878,0.927975,0.702733,0.695235,13:41
10,0.026761,0.793338,0.787433,0.929653,0.711933,0.723887,13:40
11,0.019295,0.736857,0.812712,0.942769,0.711329,0.713303,13:41
12,0.016098,0.759143,0.778015,0.938308,0.716823,0.717350,13:39
13,0.012024,0.777108,0.783620,0.926335,0.718661,0.736057,13:41
14,0.009516,0.786400,0.779845,0.927899,0.716551,0.730861,13:40
15,0.007905,0.820495,0.781027,0.909673,0.716122,0.731349,13:43
16,0.007074,0.738616,0.808632,0.946963,0.716644,0.729937,13:43
17,0.006519,0.789525,0.772410,0.944294,0.712535,0.716917,13:44
18,0.005955,0.778425,0.770389,0.945552,0.720939,0.739807,13:49
19,0.004984,0.777557,0.779350,0.910131,0.711604,0.730629,13:47
20,0.004537,0.770388,0.760705,0.944180,0.715056,0.724313,13:46
21,0.004731,0.778431,0.767530,0.946620,0.717306,0.722117,13:46
22,0.004238,0.794428,0.761315,0.945705,0.714600,0.727283,13:47
23,0.004105,0.764353,0.780608,0.946239,0.721252,0.734538,13:50
24,0.003672,0.780131,0.779311,0.946010,0.721826,0.731167,13:47
25,0.003562,0.786229,0.781408,0.946239,0.720476,0.722011,13:46
26,0.003324,0.759271,0.785564,0.946315,0.721282,0.732268,13:46
27,0.003355,0.770794,0.763526,0.931559,0.716849,0.718163,13:47
28,0.003185,0.764144,0.801655,0.930911,0.720036,0.731528,13:47
29,0.003248,0.769601,0.779616,0.945018,0.718566,0.718704,13:44
