epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.962754,3.217382,0.248103,0.459908,0.093558,0.102804,06:00
1,3.452570,2.588722,0.372898,0.623975,0.194578,0.240497,05:35
2,2.883384,2.265503,0.415450,0.642811,0.274205,0.296302,05:30
3,2.513923,1.908720,0.484081,0.746063,0.337577,0.314401,05:38
4,2.226283,1.992566,0.466656,0.710184,0.380098,0.336494,05:30
5,1.990265,1.798684,0.545468,0.769360,0.431021,0.437270,05:33
6,1.783485,1.880783,0.525184,0.706028,0.425537,0.426142,05:36
7,1.595752,1.560417,0.608838,0.786785,0.473509,0.464662,05:35
8,1.425360,1.670185,0.596027,0.738666,0.482657,0.451856,05:39
9,1.265064,1.520042,0.573302,0.804553,0.483977,0.462356,05:37
10,1.113364,1.587451,0.631372,0.791398,0.502186,0.479375,05:33
11,0.981155,1.406901,0.619590,0.836199,0.505778,0.454617,05:34
12,0.858544,1.647877,0.579822,0.802074,0.502623,0.450491,05:31
13,0.746757,1.617427,0.589583,0.784535,0.504422,0.446008,05:36
14,0.599281,1.510988,0.632211,0.827201,0.530335,0.498574,05:37
15,0.496211,1.279556,0.699241,0.857704,0.539323,0.487104,05:37
16,0.431695,1.399040,0.681511,0.844969,0.532419,0.487644,05:39
17,0.368474,1.625904,0.575247,0.791970,0.514648,0.423367,05:36
18,0.295518,1.529956,0.634461,0.813170,0.537098,0.495210,05:34
19,0.236971,1.402070,0.676440,0.835856,0.540026,0.513876,05:36
20,0.185143,1.432980,0.629809,0.834522,0.545981,0.486312,05:37
21,0.152955,1.500684,0.658977,0.813932,0.545675,0.498134,05:36
22,0.127098,1.481172,0.690815,0.807298,0.574684,0.544057,05:34
23,0.105005,1.479092,0.664544,0.814657,0.558761,0.493193,05:29
24,0.091160,1.407710,0.665307,0.843749,0.573748,0.517520,05:36
25,0.077515,1.418939,0.649903,0.818660,0.559007,0.488505,05:36
26,0.067108,1.471467,0.661151,0.811301,0.557816,0.500418,05:37
27,0.061242,1.357463,0.668471,0.864643,0.569293,0.516470,05:39
28,0.053514,1.424593,0.656918,0.863118,0.563944,0.496353,05:36
29,0.050546,1.398256,0.675449,0.853586,0.573003,0.521902,05:36
