epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.277175,1.520381,0.600412,0.808975,0.381899,0.372944,14:05
1,1.878369,1.140262,0.694971,0.857208,0.553728,0.491165,13:35
2,1.351834,0.997826,0.747016,0.918938,0.629891,0.614951,13:38
3,0.999074,0.899418,0.690319,0.917261,0.635563,0.570055,13:48
4,0.709629,0.969491,0.698974,0.930415,0.665137,0.553489,13:44
5,0.476062,0.784356,0.789606,0.929996,0.680204,0.650247,13:37
6,0.302381,0.879333,0.751554,0.908949,0.689177,0.617607,13:48
7,0.184357,0.801505,0.766081,0.904831,0.704327,0.637334,13:37
8,0.096757,0.846899,0.742594,0.938765,0.691791,0.645145,13:37
9,0.056125,0.867763,0.770122,0.883936,0.712952,0.634564,13:37
10,0.036546,0.820627,0.791474,0.935982,0.713780,0.620624,13:37
11,0.026013,0.825746,0.723796,0.929424,0.715485,0.625008,13:38
12,0.020052,0.933817,0.776642,0.919053,0.723348,0.627290,13:36
13,0.015355,0.920270,0.763412,0.921417,0.718944,0.626601,13:38
14,0.012463,0.939985,0.788882,0.888664,0.726473,0.626775,13:35
15,0.011193,0.961188,0.766996,0.886110,0.723564,0.629573,13:36
16,0.009619,0.895403,0.785488,0.926145,0.723206,0.622114,13:39
17,0.009323,0.895703,0.772296,0.880734,0.723747,0.631023,13:40
18,0.008073,0.877836,0.784649,0.929691,0.725182,0.623149,13:40
19,0.007501,0.933368,0.785259,0.927899,0.729748,0.627970,13:40
20,0.006748,0.913423,0.785526,0.921112,0.727876,0.631813,13:40
21,0.006540,0.901138,0.776566,0.931140,0.721877,0.629684,13:39
22,0.006000,0.903924,0.776223,0.930797,0.729109,0.630672,13:39
23,0.006003,0.904656,0.776642,0.928776,0.726461,0.633123,13:39
24,0.005479,0.891466,0.775651,0.934076,0.728545,0.631519,13:39
25,0.005465,0.917849,0.781142,0.927861,0.725991,0.630265,13:39
26,0.005068,0.905084,0.769894,0.927899,0.726332,0.635208,13:41
27,0.005023,0.905853,0.773440,0.934419,0.725185,0.635163,13:40
28,0.004806,0.899315,0.784344,0.928318,0.727997,0.635385,13:38
29,0.004441,0.912661,0.768979,0.928051,0.727621,0.633519,13:41
